G1067-Navy/Grn-10,Giovanna Collection Women's 3-pc Jacquard on Shimmery Virtual Silk Peplum Skirt Suit,"Attend any special event that's coming up for you with this stunning 3-piece skirt suit from Giovanna Collection! Made with jacquard prints on shimmery virtual silk fabric, great color combination in 2 color ways - navy with green and purple with gold.  This fully lined suit includes a pleated peplum jacket with front rhinestone clasp closure, a side zipper camisole, and an A-line flare skirt with side elastic waist. Measurement taken from size 10: jacket length 25"", camisole length 23"", skirt length 34"". Hats on model are sold separately (Style# HG1067/68).",Giovanna Collection,149
G1068-Navy/Grn-8,Giovanna Collection Women's 2-pc Jacquard on Shimmery Virtual Silk Skirt Suit,"Be Holiday-ready with this cute 2-piece skirt suit from Giovanna Collection. It comes in two gorgeous color combinations - navy with green and red with black. The kimono style jacket features peplum sweep and pleats, complimentary brooch at the hidden snap closure, and jacquard on the sleeves. It pairs with an A-line skirt with side elastic. Measurements taken from size 10: jacket length = 25"", skirt length = 34"". Hats on model are sold separately.",Giovanna Collection,139
G1080-PURPLE-8,Giovanna Collection Women's Lace & Mesh Peplum 2-piece Skirt Suit,"Get ready for the holidays in this cute skirt suit from Giovanna Collection! The lace jacket features a non-collar round neckline, button-down closure with snaps, 3 decorative dye-to-match rhinestone buttons, and a peplum sweep. The skirt is made in mesh and creates the pom-pom look but in long length with 32"". Jacket length from CB in size 10 is 25 1/2"". The hats shown on the model are sold separately.",Giovanna Collection,149
G1082-WHT/BLK-12,Giovanna Collection Women's  A-line Polka Dot 3-piece Skirt Suit,"Be ready to get under spot light with this gorgeous polka dot suit from Giovanna Collection! Fabric is polka dot print on brocade. Features a peplum jacket with round neck design and waistline detail, cuff slits, rhinestone clasp closure. This fully lined suit comes with a fully lined side zipper cami, and a flare skirt with 2 pockets. Hats on model are sold separately. Measured from size 10, jacket length is 23"", camisole length is 22"", skirt length is 28"".",Giovanna Collection,149
G1083-WHITE-8,Giovanna Collection Women's 3-piece Lace and Silk Wool Skirt Suit,"This sophisticated skirt suit offers a jacket, camisole and skirt. Crafted of quality polyester, this suit is designed to impress your colleagues for many meetings to come. Jacket is made with virtual silk with gathered satin trim on waistline, olivets clasp closure. Satin camisole with lace overlay in the front panel. Lace overlay straight skirt with side elastic and back zipper. Measurements taken from size 10: jacket length from center back = 26"", camisole length = 23"", skirt length = 32"". Hats on model are NOT included.",Giovanna Collection,139
G1084-LEMON-8,Giovanna Collection Women's Virtual Silk 2-piece Peplum Jkt Skirt Suit,"This clean look 2 piece skirt suit set from Giovanna Collection is for sure to add elegance to your next event! Made with virtual silk fabric, the jacket has a V-neck and 3 dye-to-match rhinestone buttons closure, 2 faux pocket covers, the peplum and rolled sweep adds a feminality to it. This suit completes with a straight column skirt with side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 22"", skirt length = 32"". Hats on models are NOT included.",Giovanna Collection,119
G1085-MINT-8,Giovanna Collection Women's 3-piece Peplum Virtual Silk Skirt Suit,"Complete your wardrobe with another timeless suit from Giovanna Collection, made with virtual silk fabric, fully lined jacket, camisole and skirt. The jacket features a standing collar, peplum sweep and a beautiful rhinestone clasp closure. Fully lined camisole comes with side zipper. It completes with a column straight skirt with side elastic and back zipper & button closure. Measurements taken from size 10: jacket length from center back = 25"", camisole length = 23"", skirt length = 32"". Hats on model are NOT included.",Giovanna Collection,129
G1086-I. BLUE-8,Giovanna Collection Women's 3-piece Oversized Shawl Collar Skirt Suit,"Prepare yourself for your next special event with this stunning 3-piece skirt suit from Giovanna Collection! The jacket is made with patterned brocade with metallic threads, with pleats on the waistline and 2 hidden snap buttons closure. The camisole is made in silk wool with a side zipper closure. The paneled flare skirt is made in silk wool fabric, side elastic, back zipper closure. The whole outfit is fully lined. Measurements taken from size 10: jacket length from center back = 22"" - 23"", camisole length = 22"", skirt length = 34"" - 35"".",Giovanna Collection,139
G1086-IDG BLUE-8,Giovanna Collection Women's 3-piece Oversized Shawl Collar Brocade & Silk Wool Skirt Suit,"Prepare yourself for your next special event with this stunning 3-piece skirt suit from Giovanna Collection! The jacket is made with patterned brocade with metallic threads, with pleats on the waistline and 2 hidden snap buttons closure. The camisole is made in silk wool with a side zipper closure. The paneled flare skirt is made in silk wool fabric, side elastic, back zipper closure. The whole outfit is fully lined. Measurements taken from size 10: jacket length from center back = 22"" - 23"", camisole length = 22"", skirt length = 34"" - 35"".",Giovanna Collection,139
G1087-LAV-8,Giovanna Collection Women's Peplum 2-pc Knitted Lace Skirt Suit,"Rich fabric with a fabulous tone-on-tone texture in windowpane pattern adds drama and a modern flair to the classic silhouette of this stylish suit. Collarless jacket features a box-pleated peplum, jeweled front buttons, slimming princess seams, and long sleeves. The skirt has a side-elastic waist and a back zipper closure. 100% polyester. Dry clean. Imported. Hats on model are NOT included. Measurements taken from size 10: jacket length from center back = 25"", skirt length = 32"".",Giovanna Collection,139
G1094-Lilac-10,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",Giovanna Apparel Corp.,105
