style,color,url,index
HD1468-69, Gold-blk,https://dl.dropboxusercontent.com/s/49yt6w15c25fvsl/HD1468-69%20Gold-blk_wm.jpg?dl=0,0
HD1493, Silver,https://dl.dropboxusercontent.com/s/5tk99h27yur45k4/HD1493%20Silver_wm.jpg?dl=0,0
HD1494, Ivory,https://dl.dropboxusercontent.com/s/kzn3pauws3gbnae/HD1494%20Ivory_wm.jpg?dl=0,0
HD1494, Pink,https://dl.dropboxusercontent.com/s/36t5r0bbgpey8z6/HD1494%20Pink_wm.jpg?dl=0,0
HD1499, Copper,https://dl.dropboxusercontent.com/s/4d2nhplh368mgpf/HD1499%20Copper_wm.jpg?dl=0,0
HG1007, Emerald,https://dl.dropboxusercontent.com/s/1lmvtxzyr9z5486/HG1007%20Emerald_wm.jpg?dl=0,0
HG1040, Peacock,https://dl.dropboxusercontent.com/s/0cgy9354lxuz54k/HG1040%20Peacock_wm.jpg?dl=0,0
HG1046, Purple,https://dl.dropboxusercontent.com/s/72gk5kwyaticpzr/HG1046%20Purple_wm.jpg?dl=0,0
HG1046, Turq,https://dl.dropboxusercontent.com/s/t59yw64y5q4gynk/HG1046%20Turq_wm.jpg?dl=0,0
HG1059, Fuchsia,https://dl.dropboxusercontent.com/s/29o1wu7b69w88bo/HG1059%20Fuchsia_wm.jpg?dl=0,0
HG1060, Lavender,https://dl.dropboxusercontent.com/s/k95r7fplmyndcox/HG1060%20Lavender_wm.jpg?dl=0,0
HG1067-68, Navy,https://dl.dropboxusercontent.com/s/e4l492csulci1tp/HG1067-68%20Navy_wm.jpg?dl=0,0
HG1081, Black,https://dl.dropboxusercontent.com/s/uijgz5e2qtis8jl/HG1081%20Black_wm.jpg?dl=0,0
HG1081, Red,https://dl.dropboxusercontent.com/s/hgmygdyw6hp7ezo/HG1081%20Red_wm.jpg?dl=0,0
HM1020, White,https://dl.dropboxusercontent.com/s/2v7dq531hj5sv54/HM1020%20White_wm.jpg?dl=0,0
HM935, Black,https://dl.dropboxusercontent.com/s/tjb80l1x14zyjhg/HM935%20Black_wm.jpg?dl=0,0
HM935, Chocolate,https://dl.dropboxusercontent.com/s/5g3tpj2tiioh530/HM935%20Chocolate_wm.jpg?dl=0,0
HM935, Navy,https://dl.dropboxusercontent.com/s/o2ssdn24c1sg9su/HM935%20Navy_wm.jpg?dl=0,0
