style,color,url,index
G1042, Emerald-wht,https://dl.dropboxusercontent.com/s/1ao4kfykpceusx4/G1042%20Emerald-wht_back_wm.jpg?dl=0,back
G1042, Emerald-wht,https://dl.dropboxusercontent.com/s/vwn3rkj5on3hwv8/G1042%20Emerald-wht_wm.jpg?dl=0,0
G1042, Gold-wht,https://dl.dropboxusercontent.com/s/q4exjgd0g44qjb9/G1042%20Gold-wht_wm.jpg?dl=0,0
G1042, White,https://dl.dropboxusercontent.com/s/snr279krci97sxl/G1042%20White_wm.jpg?dl=0,0
G1043, Lilac-blk,https://dl.dropboxusercontent.com/s/7m0yyf0u41eoapi/G1043%20Lilac-blk_wm.jpg?dl=0,0
G1043, Lime-blk,https://dl.dropboxusercontent.com/s/p5ewvhy2tr59krm/G1043%20Lime-blk_wm.jpg?dl=0,0
G1043, Orange-blk,https://dl.dropboxusercontent.com/s/3rwul7pzpmkgrjz/G1043%20Orange-blk_back_wm.jpg?dl=0,back
G1043, Orange-blk,https://dl.dropboxusercontent.com/s/q7bqsqwk69jma4j/G1043%20Orange-blk_wm.jpg?dl=0,0
G1044, Hot pink-blk,https://dl.dropboxusercontent.com/s/idgh9nyt29dz61e/G1044%20Hot%20pink-blk_wm.jpg?dl=0,0
G1044, Lime-blk,https://dl.dropboxusercontent.com/s/xrjzhfwf1akr20w/G1044%20Lime-blk_wm.jpg?dl=0,0
G1044, Royal-blk,https://dl.dropboxusercontent.com/s/3l23gn96p7mb9fk/G1044%20Royal-blk_back_wm.jpg?dl=0,back
G1044, Royal-blk,https://dl.dropboxusercontent.com/s/1pkati08egzchgv/G1044%20Royal-blk_wm.jpg?dl=0,0
G1045, Lime-blk,https://dl.dropboxusercontent.com/s/q6uyksroqtb8rua/G1045%20Lime-blk_back_wm.jpg?dl=0,back
G1045, Lime-blk,https://dl.dropboxusercontent.com/s/h8pxxtm64h60711/G1045%20Lime-blk_dress_wm.jpg?dl=0,dress
G1045, Lime-blk,https://dl.dropboxusercontent.com/s/07qbz2m9n6s03ug/G1045%20Lime-blk_wm.jpg?dl=0,0
G1045, Royal-blk,https://dl.dropboxusercontent.com/s/9rap5blg56eh832/G1045%20Royal-blk_wm.jpg?dl=0,0
G1046, Turq,https://dl.dropboxusercontent.com/s/kvbd6s0xqios88a/G1046%20Turq_wm.jpg?dl=0,0
G1047, Emerald,https://dl.dropboxusercontent.com/s/k3wtdfimx99k5nr/G1047%20Emerald_back_1_wm.jpg?dl=0,back_1
G1047, Emerald,https://dl.dropboxusercontent.com/s/yuiiur0ulo4xsmu/G1047%20Emerald_back_2_wm.jpg?dl=0,back_2
G1047, Emerald,https://dl.dropboxusercontent.com/s/3moqrruxmgahb4z/G1047%20Emerald_dress_wm.jpg?dl=0,dress
G1047, Emerald,https://dl.dropboxusercontent.com/s/3nlbs6we7fl2lm5/G1047%20Emerald_wm.jpg?dl=0,0
G1047, Ice blue,https://dl.dropboxusercontent.com/s/meb1wbmwhhkwiio/G1047%20Ice%20blue_back_wm.jpg?dl=0,back
G1047, Ice blue,https://dl.dropboxusercontent.com/s/dagenq91n2yicqm/G1047%20Ice%20blue_wm.jpg?dl=0,0
G1047, Pink,https://dl.dropboxusercontent.com/s/m4vqb1b4kda1gee/G1047%20Pink_wm.jpg?dl=0,0
G1047, White,https://dl.dropboxusercontent.com/s/j8f90pcek35580v/G1047%20White_wm.jpg?dl=0,0
G1048, Lemon Yellow,https://dl.dropboxusercontent.com/s/g5g93qkzz7z69c1/G1048%20Lemon%20Yellow_wm.jpg?dl=0,0
G1048, Rose pink,https://dl.dropboxusercontent.com/s/h88fs2v92dk3w8r/G1048%20Rose%20pink_wm.jpg?dl=0,0
G1048, White,https://dl.dropboxusercontent.com/s/f1e6glg5ah9gyn6/G1048%20White_wm.jpg?dl=0,0
G1049, Rose pink,https://dl.dropboxusercontent.com/s/5tjcytluxy049zd/G1049%20Rose%20pink_back_wm.jpg?dl=0,back
G1049, Rose pink,https://dl.dropboxusercontent.com/s/yjtv4cjm78wbhfw/G1049%20Rose%20pink_wm.jpg?dl=0,0
G1049, White,https://dl.dropboxusercontent.com/s/s2joyj6kp6wjln9/G1049%20White_wm.jpg?dl=0,0
G1050, Peach,https://dl.dropboxusercontent.com/s/0lhfqy0yvnvt5oq/G1050%20Peach_wm.jpg?dl=0,0
G1050, White,https://dl.dropboxusercontent.com/s/l83zsjnekf0rqmi/G1050%20White_back_wm.jpg?dl=0,back
G1050, White,https://dl.dropboxusercontent.com/s/mlfyeyszyfhe8lc/G1050%20White_wm.jpg?dl=0,0
G1051, Green,https://dl.dropboxusercontent.com/s/94iy11xovrhvatb/G1051%20Green_back_wm.jpg?dl=0,back
G1051, Green,https://dl.dropboxusercontent.com/s/bayekkq09cfz43z/G1051%20Green_wm.jpg?dl=0,0
G1052, Champagne,https://dl.dropboxusercontent.com/s/1nq854av5elij6q/G1052%20Champagne_back_wm.jpg?dl=0,back
G1052, Champagne,https://dl.dropboxusercontent.com/s/l54kzt96j2u8c5c/G1052%20Champagne_wm.jpg?dl=0,0
G1053, Navy-wht,https://dl.dropboxusercontent.com/s/b5rrmqzdt04zzzl/G1053%20Navy-wht_1_wm.jpg?dl=0,1
G1053, Navy-wht,https://dl.dropboxusercontent.com/s/cht2aa6nnylwn22/G1053%20Navy-wht_2_wm.jpg?dl=0,2
G1053, Navy-wht,https://dl.dropboxusercontent.com/s/bf4dviw1m0wjyu8/G1053%20Navy-wht_back_wm.jpg?dl=0,back
G1053, Navy-wht,https://dl.dropboxusercontent.com/s/7mv0mxnwn5k70ft/G1053%20Navy-wht_cami_wm.jpg?dl=0,cami
G1054, Navy-wht,https://dl.dropboxusercontent.com/s/j41008cvw4ej693/G1054%20Navy-wht_wm.jpg?dl=0,0
G1055, Navy-wht,https://dl.dropboxusercontent.com/s/2gug6u2mdmqtlto/G1055%20Navy-wht_cami_wm.jpg?dl=0,cami
G1055, Navy-wht,https://dl.dropboxusercontent.com/s/783c4sj5gvpshsz/G1055%20Navy-wht_wm.jpg?dl=0,0
G1056, Navy-wht,https://dl.dropboxusercontent.com/s/m9hinjqu7aj4rgq/G1056%20Navy-wht_wm.jpg?dl=0,0
G1059, Black,https://dl.dropboxusercontent.com/s/3cyked4g4pzcuta/G1059%20Black_cami_wm.jpg?dl=0,cami
G1059, Black,https://dl.dropboxusercontent.com/s/upppnyrx9qihajw/G1059%20Black_wm.jpg?dl=0,0
G1059, Fuchsia,https://dl.dropboxusercontent.com/s/ctj8g3vm27pb3np/G1059%20Fuchsia_back_wm.jpg?dl=0,back
G1059, Fuchsia,https://dl.dropboxusercontent.com/s/kk28dp7fnqmc9gc/G1059%20Fuchsia_wm.jpg?dl=0,0
G1059, Ivory,https://dl.dropboxusercontent.com/s/n85b1e285blp2g9/G1059%20Ivory_wm.jpg?dl=0,0
G1060, Lavender,https://dl.dropboxusercontent.com/s/58xexncvl8s1047/G1060%20Lavender_back_wm.jpg?dl=0,back
G1060, Lavender,https://dl.dropboxusercontent.com/s/ile4j4mvymmmo16/G1060%20Lavender_cami_wm.jpg?dl=0,cami
G1060, Lavender,https://dl.dropboxusercontent.com/s/0lnw3giu629aigs/G1060%20Lavender_wm.jpg?dl=0,0
G1060, Off white,https://dl.dropboxusercontent.com/s/zd4dme0dgdwbo8u/G1060%20Off%20white_wm.jpg?dl=0,0
G1061, Blue,https://dl.dropboxusercontent.com/s/natv2egwfrq9p4p/G1061%20Blue_back_wm.jpg?dl=0,back
G1061, Blue,https://dl.dropboxusercontent.com/s/pk4ctwl99fc5f1a/G1061%20Blue_wm.jpg?dl=0,0
G1061, Silver,https://dl.dropboxusercontent.com/s/ss3dp3rlxuhym5b/G1061%20Silver_cami_wm.jpg?dl=0,cami
G1061, Silver,https://dl.dropboxusercontent.com/s/z5zq71tfzy6hnqz/G1061%20Silver_wm.jpg?dl=0,0
G1062, Fuchsia,https://dl.dropboxusercontent.com/s/f5dmgd1bg2y9yne/G1062%20Fuchsia_wm.jpg?dl=0,0
