DATE,01/31/19,ATS ON HAND (QTY < 8),,,,,,,,,,,,,,,,,,,,,,,,
Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w,S,M,L,XL,1X,2X,3X,sum
'0908,EMERALD,,,5,,,,,,,6,,,,,,,,,,,,,,,11
'0910,BLACK/WHITE DOT,,,,,,,,,,,,4,5,2,1,,,,,,,,,,12
'0914V,BLUE,,,,,,,,1,,1,,,,,,,,,,,,,,,2
'0915,BLUE,,,1,,,,,,,,,,,,,,,,,,,,,,1
'0918,NAVY,,1,7,,,,,,,,,,,,,,,,,,,,,,8
'0919,BLACK,,5,,,,,,,,,,,,,,,,,,,,,,,5
'0919,FUCHSIA,,6,,,,,,,,,,,,,,,,,,,,,,,6
D1320,MUSTARD/GOLD,,,,,,,,,,,,,,,,,,,,,,,1,,1
D1321,BLACK,,,,,,,,,,,,,,,,,,,3,,3,,,,6
D1321,WHITE,,,,,,,,,,,,,,,,,,,3,,,2,,,5
D1322,DENIM DOT,,,,,,,,,,,,,,,,,,,1,3,,3,,,7
D1323,SILVER,,,,,,,,,,,,,,,,,,,,7,,,,,7
D1323,WHITE,,,,,,,,,,,,,,,,,,,,,,2,3,,5
D1324,DENIM DOT,,,,,,,,,,,,,,,,,,,,3,,3,,,6
D1326P,YELLOW PRINT,,,,,,,,,,,,,,,,,,,,5,,,,,5
D1327,GREEN,,,,,,,,,,,,,,,,,,,,,,,5,,5
D1327,GREEN/PINK,,,,,,,,,,,,,,,,,,,,6,,,,6,12
D1327,ROYAL,,,,,,,,,,,,,,,,,,,,,,,,7,7
D1329,CORAL PINK,,,3,,,,,,,,,,,,,,,,,,,,,,3
D1329,WHITE,,,1,3,,,,,1,,,,,,,,,,,,,,,,5
D1331,RAINBOW,,,,,,,,,,,,,,,,,,,,6,,,,,6
D1331,RED,,,,,,,,,,,,,,,,,,,,,,,,1,1
D1332,BLACK/BLACK,,,,,,,,,,,,,,,,,,,1,,,,,,1
D1332,BLACK/WHITE,,,,,,,,,,,,,,,,,,,5,,,,,,5
D1332,WHITE/WHITE,,,,,,,,,,,,,,,,,,,,4,,,,1,5
D1333,IVORY,,,,6,,,,,,,,,,,,,,,,,,,,,6
D1333,NAVY,,,,,1,3,,4,6,2,,,,,,,,,,,,,,,16
D1334,NAVY,,,,,,,,,,,,1,1,1,,,,,,,,,,,3
D1334,PURPLE,,,,,,,,7,,,,,,,,,,,,,,,,,7
D1336,WHITE/BLACK,,,,,,,,,,,,,1,,,,,,,,,,,,1
D1340,GOLD/RED/BLACK,,,,,,,,,1,,6,,,,,,,,,,,,,,7
D1341,ORANGE MULTI,,,,1,5,,4,,,,,,5,,,,,,,,,,,,15
D1344,GOLD/BLACK,0,,,,5,,,7,3,2,4,4,,6,,,,,,,,,,,31
D1344,N/A,1,,,,,,,,,,,,,,2,,,,,,,,,,3
D1345,GOLD,,,,,,,,,,,5,,,,,,,,,,,,,,5
D1345,SAPPHIRE,,,,1,,,,7,,,,,,,,,,,,,,,,,8
D1346,BLACK,,,,2,,,6,,3,,,,,1,,,,,,,,,,,12
D1346,WHITE,,,,,5,,,6,,,,,,,,2,,,,,,,,,13
D1349,BLACK/PINK,,,,,,,,,,,,,,,2,,,,,,,,,,2
D1353,ICE BLUE,,6,,,,,,,,,,,,,,,,,,,,,,,6
D1353,WHITE,,6,,,,,,,,,,,,,,,,,,,,,,,6
D1423,DARK SILVER,,,5,3,,,,,,,,,7,,,,,,,,,,,,15
D1423,SILVER,,,,,,,,,,,1,1,,,,,,,,,,,,,2
D1423B,BLACK,,,,,,,4,,1,6,7,,,,,,,,,,,,,,18
D1423B,CHAMPAGNE,,,1,,,,,,,,,,,,,,,,,,,,,,1
D1424,BLACK,,,5,,,,,,,,,,,,,,,,,,,,,,5
D1424,BURGUNDY,,,,6,,,,1,,,,1,3,4,,,,,,,,,,,15
D1424,CHAMPAGNE,,,,,,,3,,,4,,,7,,,,,,,,,,,,14
D1424,ROYAL,,,,,,,,,,,,,5,2,,,,,,,,,,,7
D1424,WHITE,,,,,,4,,4,,,,,,,,,,,,,,,,,8
D1435,BLACK,0,,4,,,,,,,,,,,,7,,,,,,,,,,11
D1435,LAVENDER,0,6,2,,,,,,,,,,,,,,,,,,,,,,8
D1435,PURPLE,4,7,,,,,,,,,,,,,,,,,,,,,,,11
D1435,SAPPHIRE,0,2,,,,,,,,,,,6,,,3,,,,,,,,,11
D1435,WHITE,0,2,5,,,,,,,,,,,,,6,6,6,,,,,,,25
D1446,NAVY/WHITE,,,,,,,,,1,6,5,,,3,,,,,,,,,,,15
D1446,PURPLE/BLACK,,,,,,,,,,,,2,4,5,,,,,,,,,,,11
D1446,RED/BLACK,,,,,,,,,,,,6,2,,,,,,,,,,,,8
D1446,SOFT PINK/BLACK,,,,,,,,3,5,7,4,,7,7,,,,,,,,,,,33
D1450,BLACK,,,,,,,,,,,,,6,,,,,,,,,,,,6
D1450,IVORY,,,,,,,,,,3,2,,,,,,,,,,,,,,5
D1450,LIME,,,,,,,3,,3,6,6,7,4,,,,,,,,,,,,29
D1450,PURPLE,,,,,,,5,,,4,6,,,,,,,,,,,,,,15
D1450,ROYAL,,,,,,,4,,,1,,,3,3,,,,,,,,,,,11
D1451,BLACK,,6,,6,,,,1,,,,,,,,,,,,,,,,,13
D1451,CRANBERRY,,7,,,,,,4,,,,,,,,,,,,,,,,,11
D1451,WHITE,,,3,,,,,7,,,,,,,,,,,,,,,,,10
D1453,ICE BLUE,,,,5,,,,,,,,,,,,,,,,,,,,,5
D1453,PINK,,,7,3,6,3,,4,,,3,,7,,,,,,,,,,,,33
D1457,WHITE/BLUE,,,,,,,,,5,6,6,,,,,,,,,,,,,,17
D1457,WHITE/PINK,,,,,,,,,6,,7,,5,,,,,,,,,,,,18
D1458,BURGUNDY,,,,2,,,,4,,4,4,4,,,,,,,,,,,,,18
D1458,GREEN,,,,,,,2,,5,,1,1,1,1,,,,,,,,,,,11
D1458,NAVY,,,6,,,,,,,,,,,,,,,,,,,,,,6
D1458,PINK,,1,,,,,,,,2,,6,,,,,,,,,,,,,9
D1458,WHITE,,,,,,,6,,,3,3,,,1,,,,,,,,,,,13
D1467,LILAC/BLACK,,,,,,,,,,3,6,6,5,,,,,,,,,,,,20
D1467,ORANGE/BLACK,,,,,,,,,2,4,6,5,1,,,,,,,,,,,,18
D1468,LIME/WHITE,,,,,,,,6,,6,,,,,,,,,,,,,,,12
D1468,PINK/WHITE,,,2,,,1,7,,,,,,,1,,,,,,,,,,,11
D1468,WHITE,,2,,,,,,,,,,,,,,,,,,,,,,,2
D1468,YELLOW/WHITE,,,4,,,,,,,1,1,,1,,,,,,,,,,,,7
D1469,GOLD/BLACK,,,,,,,,,,,,6,3,,,,,,,,,,,,9
D1469,RED/BLACK,,,,,,,,,,,,2,,,,,,,,,,,,,2
D1469,WHITE,,,,,,,,,,,,,6,6,,,,,,,,,,,12
D1473,BLACK,,,,6,,,,,,3,2,4,5,,,,,,,,,,,,20
D1473,NAVY,,,,,,2,,,,,,,,,,,,,,,,,,,2
D1474,BLACK,,,,,7,6,1,,,,,4,,,,,,,,,,,,,18
D1474,IVORY,,,4,7,,,,4,7,,,,4,,,,,,,,,,,,26
D1475,DENIM BLUE,,,,,,,,,,,,,,,,,,,,,,1,,,1
D1475,KHAKI,,,,,,,,,,,,,,,,,,,,2,1,,,,3
D1475,WHITE,,,,,,,,,,,,,,,,,,,,4,,,,,4
D1476,DENIM BLUE,,,,,,,,,,,,,,,,,,,5,7,,,,,12
D1476,LAVENDER,,,,,,,,,,,,,,,,,,,,4,,,,7,11
D1479,BLACK,,,7,,,,,3,,,,,,,,,,,,,,,,,10
D1479,BLUE,,,,2,6,,6,,,,,,,,,,,,,,,,,,14
D1479,PURPLE,,,1,1,,7,,5,,,7,,,7,,,,,,,,,,,28
D1481,HOT PINK,,,,,,,1,2,,,,,,,,,,,,,,,,,3
D1483,BLACK/GREEN,,,3,,,,,1,,,,,2,,,,,,,,,,,,6
D1483,WHITE/BLACK,,,,,,,2,,2,,,,,,,,,,,,,,,,4
D1483,WHITE/LAVENDER,,,,2,3,4,6,,4,5,,,,,,,,,,,,,,,24
D1484,LEMON YELLOW,,1,3,1,,,5,1,,,,,,,,,,,,,,,,,11
D1484,LIME,,3,6,,,,,4,,,,,,,,,,,,,,,,,13
D1485,DARK LIME,,2,3,5,1,5,6,,2,3,3,1,1,2,,,,,,,,,,,34
D1485,ICE BLUE,,1,3,,,,6,,,,,,,,,,,,,,,,,,10
D1485,ROSE PINK,,,,,,2,,,,,,,,,,,,,,,,,,,2
D1486,NAVY,,,4,,6,,,,,,,4,3,2,,,,,,,,,,,19
D1486,WHITE,,,2,,,,3,,,,,,,,,,,,,,,,,,5
D1489,DENIM BLUE,,,,,,,,,,,,,,,,,,,,,,,3,,3
D1490,WHITE,,,,1,5,5,2,6,,5,,,,,,,,,,,,,,,24
D1493,BLACK,,,,,,,,,,1,,,,,,,,,,,,,,,1
D1493,SILVER,,,,,1,,,,,,4,,,,,,,,,,,,,,5
D1493,WHITE,,,,,,1,,,,,,4,,,,,,,,,,,,,5
D1494,IVORY,,,1,5,,,7,5,,,,,,4,,,,,,,,,,,22
D1494,PINK,,,,,,,,4,,,,,4,,,,,,,,,,,,8
D1495,NAVY,,,7,6,,,,,,,,,,7,,,,,,,,,,,20
D1496,BLUE,,,,,,,7,5,6,,6,,,,,,,,,,,,,,24
D1498,NAVY,,,2,,7,,,,,,,,,,,,,,,,,,,,9
D1498,PURPLE/GOLD,,,2,,,,,,,,,,,,,,,,,,,,,,2
D1499,CHAMPAGNE,,5,,,,,,,,,,,,,,,,,,,,,,,5
D1499,WHITE,,,3,,,,,,,,,,,,,,,,,,,,,,3
D1500,IVORY,,,,,,,,,,,1,,,,,,,,,,,,,,1
D1501,BLACK,,3,,4,,,,,,,,,,,,,,,,,,,,,7
D1502,BLACK/GREEN,,,4,,,,,4,6,6,4,,1,,,,,,,,,,,,25
D1502,BLACK/PINK,,,1,,2,2,1,4,5,6,6,2,1,,,,,,,,,,,,30
D1503,WHITE,,,,,,,,,1,1,,,,,,,,,,,,,,,2
D1504,CHAMPAGNE,,7,,,,,,,,,,,,,,,,,,,,,,,7
D1505,OLIVE,,,,,,,4,7,7,7,3,5,3,,,,,,,,,,,,36
G0842,WHITE/TURQUOISE,,7,,,,,,,,,,,,,,,,,,,,,,,7
G0844,BLACK,,,,,,,,,,,,4,,,,,,,,,,,,,4
G0844,CHAMPAGNE,,,,4,3,1,1,,,,,,,,,,,,,,,,,,9
G0844,GOLD/BLACK,,,7,6,,,,,,,,7,,,,,,,,,,,,,20
G0844,ICE BLUE,,,,,,,,,,5,,,4,,,,,,,,,,,,9
G0844,SILVER,,,,7,,,,5,,,,,,5,,,,,,,,,,,17
G0844,WHITE,,,4,,6,,6,,,,6,,,,,,,,,,,,,,22
G1007,BLACK,,,,,,,,,,,,,,4,,,,,,,,,,,4
G1007,CHOCOLATE,,,2,,,,,,,,,,,,,,,,,,,,,,2
G1007,GOLD,,,6,,,,,,,,,,,,,,,,,,,,,,6
G1007,LAVENDER,,2,,,,,,,,,,,,,,,,,,,,,,,2
G1007,PINK,,,1,5,1,,2,,,,,,,,,,,,,,,,,,9
G1007,RED,,3,6,,,,,,5,,,7,,,,,,,,,,,,,21
G1007,WHITE,,,,,,,5,,,3,3,6,7,7,,,,,,,,,,,31
G1011,CHAMPAGNE,,4,,,,,,,,,,,,,,,,,,,,,,,4
G1011,RED,,4,,,,,,,,,,,,,,,,,,,,,,,4
G1011,WHITE,,3,,,,,,,,,,,4,,,,,,,,,,,,7
G1018,BLACK,,,1,1,,,1,,1,,,1,,,,,,,,,,,,,5
G1018,CRANBERRY,,,,,,,,,,,1,3,1,5,,,,,,,,,,,10
G1018,GINGER,,,,,,,,,3,2,3,,7,1,,,,,,,,,,,16
G1018,NAVY,,,,,,,,,,,,,1,,,,,,,,,,,,1
G1018,PURPLE,,,,,,1,1,,,,,,,,,,,,,,,,,,2
G1018,SOFT PINK,,,,,,,,,,,,,,,4,,,,,,,,,,4
G1018,WHITE,,,,,,,,,,,,,6,,,,,,,,,,,,6
G1041,PURPLE,,,4,,,4,,2,,,3,,6,,,,,,,,,,,,19
G1045,HOT PINK/BLACK,,,,5,,,,,,,,,,,,,,,,,,,,,5
G1045,LIME/BLACK,,,,4,,,7,4,,,,,5,,,,,,,,,,,,20
G1045,ROYAL/BLACK,,,2,,,,,,,,,,,,,,,,,,,,,,2
G1051,GOLD,,,,,,2,,1,4,4,,,3,,,,,,,,,,,,14
G1055,NAVY/WHITE,,,,,,1,,,7,,,,,,,,,,,,,,,,8
G1056,PURPLE/WHITE,,,2,7,,,,,,5,,,,,,,,,,,,,,,14
G1060,LAVENDER,,,,,2,2,,,,,,,,,,,,,,,,,,,4
G1060,OFF WHITE,,,,,3,1,1,1,4,3,,,4,,,,,,,,,,,,17
G1062,FUCHSIA,,1,4,,,,,,,,,,,,,,,,,,,,,,5
G1062,MUSTARD,,,,,,,,,,,,,5,,,,,,,,,,,,5
G1064,BLACK,,,,6,,,,,,,,,,,,,,,,,,,,,6
G1065,BLACK,,,,,,,,,,4,6,5,5,,,,,,,,,,,,20
G1066,FUCHSIA,,,3,2,5,,4,,,,,5,,,,,,,,,,,,,19
G1066,MUSTARD,,,3,5,1,,5,7,,,,,2,,,,,,,,,,,,23
G1067,NAVY/GREEN,,,6,,,,,,,,,,,,,,,,,,,,,,6
G1067,PURPLE/GOLD,,,3,,,,,,,,,,,,,,,,,,,,,,3
G1068,NAVY/GREEN,,5,,,,,,,,,,,,,,,,,,,,,,,5
G1068,RED/BLACK,,5,,,,,,,,,,,,,,,,,,,,,,,5
G1069,CINNAMON/TAUPE,,,7,,,,,,,,,,,,,,,,,,,,,,7
G1069A,WHITE,,,,,,,,5,,5,,,6,,,,,,,,,,,,16
G1070,PURPLE,,,,1,7,7,3,,,,2,1,6,,,,,,,,,,,,27
G1070,RED,,,2,2,,,7,3,,,6,6,5,1,,,,,,,,,,,32
G1072,APPLE GREEN,,,1,2,1,1,,2,,,7,,4,,,,,,,,,,,,18
G1072,PURPLE,,,,,,,,,,,4,,2,,,,,,,,,,,,6
G1072,WHITE,,,,2,7,5,1,,2,3,4,5,2,,,,,,,,,,,,31
G1074,APPLE GREEN,,,3,,,,,3,,,,,,2,,,,,,,,,,,8
G1081,BLACK,,,1,7,,,7,,,,,,4,,,,,,,,,,,,19
G1081,RED,,3,,,,,,,,,,,,,,,,,,,,,,,3
G1082,WHITE/BLACK,,,,5,,2,4,,,4,,6,,,,,,,,,,,,,21
G1082,WHITE/BLACK/RED,,,,,,,,,1,,,,,,,,,,,,,,,,1
G1082,WHITE/YELLOW,,,,,,,1,,,,,,,,,,,,,,,,,,1
G1083,LAVENDER,,5,,,,,,,,,,,,,,,,,,,,,,,5
G1083,WHITE,,4,,,,,,,,,,,,,,,,,,,,,,,4
G1084,LEMON,,7,,,,,,,,,,,,,,,,,,,,,,,7
G1085,MINT,,5,,,,,,,,,,,,,,,,,,,,,,,5
G1085,WHITE,,5,,,,,,,,,,,,,,,,,,,,,,,5
G1086,INDIGO BLUE,,6,,,,,,,,,,,,,,,,,,,,,,,6
G1087,WHITE,,7,,,,,,,,,,,,,,,,,,,,,,,7
G1088,BLACK,,4,2,,,,,,,,,,,,,,,,,,,,,,6
G1088,CHAMPAGNE,,,,,,,1,4,,7,,,,6,,,,,,,,,,,18
G1088,NAVY,,3,7,,6,,6,,6,,,,,,,,,,,,,,,,28
G1088,SILVER,,2,,,,7,,,,,,,,,,,,,,,,,,,9
G1088,WHITE,,,,,,,,3,,,,,4,4,,,,,,,,,,,11
G1093,PINK,,,,1,,,,,,,,,,,,,,,,,,,,,1
G1093,WHITE,,,,,,,,,1,,,,,,,,,,,,,,,,1
G1095,VIOLET,,1,,,,,,,,,,,,,,,,,,,,,,,1
G1096,YELLOW,,,,,,,,,,1,,,,,,,,,,,,,,,1
G1097,N/A,,,1,,,,,,,1,,,,,,,,,,,,,,,2
G1098,CHAMPAGNE,,,1,,,,,,,,,,,,,,,,,,,,,,1
G1098,LIME,,,,,,,,,,1,,,,,,,,,,,,,,,1
G1098,YELLOW,,,,,,,,,,1,,,,,,,,,,,,,,,1
G1099,LIME,,,,,,,,,,1,,,,,,,,,,,,,,,1
P1011,PINK,,,,,,,,,,,,,,,,,,,,,,1,,4,5
P1011,WHITE,,,,,,,,,,,,,,,,,,,,,2,,6,,8
P1013,BLACK/RED,,,,,,,,,,,,,,,,,,,,,6,,,3,9
P1013,RAINBOW,,,,,,,,,,,,,,,,,,,,2,,,,,2
S0710,BLACK,,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,11
S0711,BLACK,,2,3,1,1,2,2,1,,,,,,,,,,,,,,,,,12
S0712,BLACK,,,,,,,1,,1,,,,,,,,,,,,,,,,2
S0714,CHOCOLATE,,,,,,,1,,,,,,,,,,,,,,,,,,1
T0015,HUNTER GREEN,,5,3,,,,4,,,7,7,3,1,1,,,,,,,,,,,31
T0074,SILVER MULTI,,,,,1,,3,,,,,,,,,,,,,,,,,,4
T0076,BLACK/WHITE,,6,,,,,,,,,,,6,5,,,,,,,,,,,17
T0540,IVORY,,7,,,,,,,,,,,,,,,,,,,,,,,7
T0748,LIGHT BLUE,,6,,,,,,,,,,,7,6,,,,,,,,,,,19
