code,color,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,nowip_ats1,nowip_ats2,nowip_ats3,nowip_ats4,nowip_ats5,nowip_ats6,nowip_ats7,nowip_ats8,nowip_ats9,nowip_ats10,nowip_ats11,nowip_ats12,nowip_total,descript
0650W,SIL,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,5,15,6,9,7,18,11,0,0,0,71,0,0,0,0,71.0000,,1,0,0,5.0000,15.0000,6.0000,9.0000,7.0000,18.0000,11.0000,0,0,0,0,0,5,15,6,9,7,18,11,0,0,0,71,SILVER
0650W,WHT,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,1,2,0,0,13,22,13,4,5,0,60,0,0,0,0,60.0000,,1,0,0,1.0000,2.0000,0,0,13.0000,22.0000,13.0000,4.0000,5.0000,0,0,0,1,2,0,0,13,22,13,4,5,0,60,WHITE
0654,BLK,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,1,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12.0000,,1,5.0000,1.0000,6.0000,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,12,BLACK
0654,PURPLE,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4.0000,,1,0,0,0,0,0,4.0000,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,PURPLE
0654,RED,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,9,0,0,1,5,0,0,0,0,0,0,15,0,0,0,0,15.0000,,1,0,9.0000,0,0,1.0000,5.0000,0,0,0,0,0,0,0,9,0,0,1,5,0,0,0,0,0,0,15,RED
0654,RYL,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,4,9,7,2,6,8,0,0,0,0,0,0,36,0,0,0,0,36.0000,,1,4.0000,9.0000,7.0000,2.0000,6.0000,8.0000,0,0,0,0,0,0,4,9,7,2,6,8,0,0,0,0,0,0,36,ROYAL
0654W,BLK,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,1,10,4,0,0,0,15,0,0,0,0,15.0000,,1,0,0,0,0,0,0,1.0000,10.0000,4.0000,0,0,0,0,0,0,0,0,0,1,10,4,0,0,0,15,BLACK
0654W,PURPLE,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,7,6,3,11,18,10,0,0,0,55,0,0,0,0,55.0000,,1,0,0,0,7.0000,6.0000,3.0000,11.0000,18.0000,10.0000,0,0,0,0,0,0,7,6,3,11,18,10,0,0,0,55,PURPLE
0654W,RED,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,1,7,16,8,9,0,0,0,41,0,0,0,0,41.0000,,1,0,0,0,0,1.0000,7.0000,16.0000,8.0000,9.0000,0,0,0,0,0,0,0,1,7,16,8,9,0,0,0,41,RED
0654W,RYL,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,3,10,8,11,15,10,9,0,0,0,66,0,0,0,0,66.0000,,1,0,0,3.0000,10.0000,8.0000,11.0000,15.0000,10.0000,9.0000,0,0,0,0,0,3,10,8,11,15,10,9,0,0,0,66,ROYAL
0654W,WHT,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,2,0,4,0,0,0,6,0,0,0,0,6.0000,,1,0,0,0,0,0,0,2.0000,0,4.0000,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,6,WHITE
0655,BLK,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,4,12,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,23.0000,,1,4.0000,12.0000,0,0,0,7.0000,0,0,0,0,0,0,4,12,0,0,0,7,0,0,0,0,0,0,23,BLACK
0655,NAVY #1833,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,4,15,17,23,22,22,0,0,0,0,0,0,103,1,0,1.0000,0,102.0000,,1,4.0000,15.0000,16.0000,23.0000,22.0000,22.0000,0,0,0,0,0,0,4,15,16,23,22,22,0,0,0,0,0,0,102,NAVY
0655,RYL #1833,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,14,19,29,26,24,0,0,0,0,0,0,117,0,0,0,0,117.0000,,1,5.0000,14.0000,19.0000,29.0000,26.0000,24.0000,0,0,0,0,0,0,5,14,19,29,26,24,0,0,0,0,0,0,117,ROYAL
0655W,BLK,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,5,0,1,11,16,15,0,0,0,48,0,0,0,0,48.0000,,1,0,0,0,5.0000,0,1.0000,11.0000,16.0000,15.0000,0,0,0,0,0,0,5,0,1,11,16,15,0,0,0,48,BLACK
0655W,NAVY #1833,2 PC WASHABLE,,39.0000,W13,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,,,,0,GIO,00,,0,0,18,26,26,23,24,24,14,9,0,0,164,0,0,0,0,164.0000,,1,0,0,18.0000,26.0000,26.0000,23.0000,24.0000,24.0000,14.0000,9.0000,0,0,0,0,18,26,26,23,24,24,14,9,0,0,164,NAVY
0655W,RYL #1833,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,20,29,29,25,25,20,15,0,0,0,163,0,0,0,0,163.0000,,1,0,0,20.0000,29.0000,29.0000,25.0000,25.0000,20.0000,15.0000,0,0,0,0,0,20,29,29,25,25,20,15,0,0,0,163,ROYAL
0655W,WHT,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,11,6,0,18,18,17,0,0,0,70,0,0,0,0,70.0000,,1,0,0,0,11.0000,6.0000,0,18.0000,18.0000,17.0000,0,0,0,0,0,0,11,6,0,18,18,17,0,0,0,70,WHITE
0708,BLK,3 PC WASHABLE SUIT 0301,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,12,22,21,17,22,0,0,0,0,0,0,100,0,0,0,0,100.0000,,1,6.0000,12.0000,22.0000,21.0000,17.0000,22.0000,0,0,0,0,0,0,6,12,22,21,17,22,0,0,0,0,0,0,100,BLACK
0708,NAVY,3 PC WASHABLE SUIT 0301,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,8,16,25,30,29,23,0,0,0,0,0,0,131,0,0,0,0,131.0000,,1,8.0000,16.0000,25.0000,30.0000,29.0000,23.0000,0,0,0,0,0,0,8,16,25,30,29,23,0,0,0,0,0,0,131,NAVY
0708W,BLK,3 PC WASHABLE SUIT 0301,,45.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,9,19,18,19,14,14,9,0,0,0,102,0,0,0,0,102.0000,,1,0,0,9.0000,19.0000,18.0000,19.0000,14.0000,14.0000,9.0000,0,0,0,0,0,9,19,18,19,14,14,9,0,0,0,102,BLACK
0708W,NAVY,3 PC WASHABLE SUIT 0301,,45.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,15,20,19,20,20,19,12,8,5,0,138,0,0,0,0,138.0000,,1,0,0,15.0000,20.0000,19.0000,20.0000,20.0000,19.0000,12.0000,8.0000,5.0000,0,0,0,15,20,19,20,20,19,12,8,5,0,138,NAVY
0710,CHOCO#1809,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,9,13,21,26,23,20,0,0,0,0,0,0,112,0,0,0,0,112.0000,,1,9.0000,13.0000,21.0000,26.0000,23.0000,20.0000,0,0,0,0,0,0,9,13,21,26,23,20,0,0,0,0,0,0,112,CHOCOLATE
0710,IVY,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,9,11,0,0,0,0,0,0,0,0,0,26,1,0,1.0000,0,25.0000,,1,5.0000,9.0000,11.0000,0,0,0,0,0,0,0,0,0,5,9,11,0,0,0,0,0,0,0,0,0,25,IVORY
0710,IVY #1834,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,19,20,39,39,29,0,0,0,0,0,0,152,2,0,0,2,150.0000,,1,6.0000,19.0000,20.0000,39.0000,39.0000,27.0000,0,0,0,0,0,0,6,19,20,39,39,27,0,0,0,0,0,0,150,IVORY
0710,NAVY,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,J,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,1,12,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,14.0000,,1,1.0000,12.0000,0,0,0,1.0000,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,14,NAVY
0710,NAVY #1834,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,10,24,27,31,14,0,0,0,0,0,0,112,1,0,1.0000,0,111.0000,,1,5.0000,10.0000,24.0000,27.0000,31.0000,14.0000,0,0,0,0,0,0,5,10,24,27,31,14,0,0,0,0,0,0,111,NAVY
0710,RYL,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,11,0,0,0,0,0,0,11,1,0,1.0000,0,10.0000,,1,0,0,0,0,0,10.0000,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,ROYAL
0710,RYL #1834,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,10,23,20,16,7,0,0,0,0,0,0,81,0,0,0,0,81.0000,,1,5.0000,10.0000,23.0000,20.0000,16.0000,7.0000,0,0,0,0,0,0,5,10,23,20,16,7,0,0,0,0,0,0,81,ROYAL
0710,WHT,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,J,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8.0000,,1,8.0000,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,WHITE
0710W,BLK,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,1,8,10,9,8,0,36,0,0,0,0,36.0000,,1,0,0,0,0,0,0,1.0000,8.0000,10.0000,9.0000,8.0000,0,0,0,0,0,0,0,1,8,10,9,8,0,36,BLACK
0710W,BLK#1809,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,7,0,0,0,11,3,5,4,1,0,31,0,0,0,0,31.0000,,1,0,0,7.0000,0,0,0,11.0000,3.0000,5.0000,4.0000,1.0000,0,0,0,7,0,0,0,11,3,5,4,1,0,31,BLACK
0710W,CHOCO,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,3,13,11,0,0,0,27,0,0,0,0,27.0000,,1,0,0,0,0,0,0,3.0000,13.0000,11.0000,0,0,0,0,0,0,0,0,0,3,13,11,0,0,0,27,CHOCOLATE
0710W,CHOCO#1809,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,9,12,16,17,26,12,10,9,9,0,120,0,0,0,0,120.0000,,1,0,0,9.0000,12.0000,16.0000,17.0000,26.0000,12.0000,10.0000,9.0000,9.0000,0,0,0,9,12,16,17,26,12,10,9,9,0,120,CHOCOLATE
0710W,IVY,2 PC SET WASHABLE,,39.0000,W13,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,,,,0,GIO,00,,0,0,0,0,0,1,1,9,10,0,0,0,21,0,0,0,0,21.0000,,1,0,0,0,0,0,1.0000,1.0000,9.0000,10.0000,0,0,0,0,0,0,0,0,1,1,9,10,0,0,0,21,IVORY
0710W,IVY #1834,2 PC SET WASHABLE,,39.0000,W13,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,,,,0,GIO,00,,0,0,20,28,30,29,18,20,15,10,0,0,170,4,0,0,4,166.0000,,1,0,0,20.0000,28.0000,28.0000,27.0000,18.0000,20.0000,15.0000,10.0000,0,0,0,0,20,28,28,27,18,20,15,10,0,0,166,IVORY
0710W,NAVY,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,15,16,21,16,12,10,0,90,0,0,0,0,90.0000,,1,0,0,0,0,0,15.0000,16.0000,21.0000,16.0000,12.0000,10.0000,0,0,0,0,0,0,15,16,21,16,12,10,0,90,NAVY
