IN,Supplier Sku,YES,Quantity,Blank,Blank,Blank,Blank,Decription,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,SKU,JCPENNEY
IN,0825W-BLACK-26W,Yes,2,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600075,JCPENNEY
IN,0825W-CHOCO-14W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600216,JCPENNEY
IN,0825W-CHOCO-16W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600224,JCPENNEY
IN,0825W-CHOCO-18W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600232,JCPENNEY
IN,0825W-CHOCO-20W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600240,JCPENNEY
IN,0825W-CHOCO-22W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600257,JCPENNEY
IN,0825W-CHOCO-24W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600265,JCPENNEY
IN,0825W-CHOCO-26W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600273,JCPENNEY
IN,0825-WHITE-10,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501620067,JCPENNEY
IN,0825-WHITE-12,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501620075,JCPENNEY
IN,0825-WHITE-14,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501620083,JCPENNEY
IN,0825-WHITE-16,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501620091,JCPENNEY
IN,0825-WHITE-18,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501620109,JCPENNEY
IN,0825-WHITE-8,Yes,2,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501620059,JCPENNEY
IN,0825W-WHITE-14W,Yes,2,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630018,JCPENNEY
IN,0825W-WHITE-16W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630026,JCPENNEY
IN,0825W-WHITE-18W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630034,JCPENNEY
IN,0825W-WHITE-20W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630042,JCPENNEY
IN,0825W-WHITE-22W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630059,JCPENNEY
IN,0825W-WHITE-24W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630067,JCPENNEY
IN,0825W-WHITE-26W,Yes,2,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501630075,JCPENNEY
IN,D1486-NAVY-10,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740067,JCPENNEY
IN,D1486-NAVY-12,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740075,JCPENNEY
IN,D1486-NAVY-14,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740083,JCPENNEY
IN,D1486-NAVY-16,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740091,JCPENNEY
IN,D1486-NAVY-18,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740109,JCPENNEY
IN,D1486-WHITE-10,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740265,JCPENNEY
IN,D1486-WHITE-12,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740273,JCPENNEY
IN,D1486-WHITE-14,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740281,JCPENNEY
IN,D1486-WHITE-16,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740299,JCPENNEY
IN,D1486-WHITE-18,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,22002740307,JCPENNEY
IN,D1486W-NAVY-14W,Yes,2,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640018,JCPENNEY
IN,D1486W-NAVY-16W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640026,JCPENNEY
IN,D1486W-NAVY-18W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640034,JCPENNEY
IN,D1486W-NAVY-20W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640042,JCPENNEY
IN,D1486W-NAVY-22W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640059,JCPENNEY
IN,D1486W-NAVY-24W,Yes,2,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640067,JCPENNEY
IN,D1486W-NAVY-26W,Yes,2,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640075,JCPENNEY
IN,D1486W-WHITE-14W,Yes,2,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640216,JCPENNEY
IN,D1486W-WHITE-16W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640224,JCPENNEY
IN,D1486W-WHITE-18W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640232,JCPENNEY
IN,D1486W-WHITE-20W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640240,JCPENNEY
IN,D1486W-WHITE-22W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640257,JCPENNEY
IN,D1486W-WHITE-24W,Yes,3,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640265,JCPENNEY
IN,D1486W-WHITE-26W,Yes,2,,,,,1PC SHIFT DRS,,,,,,,,,,,,,,87607640273,JCPENNEY
IN,D1491-CHAMP-10,Yes,2,,,,,1PC BRCD DRS,,,,,,,,,,,,,,22002750067,JCPENNEY
IN,D1491-CHAMP-12,Yes,0,,,,,1PC BRCD DRS,,,,,,,,,,,,,,22002750075,JCPENNEY
IN,D1491-CHAMP-14,Yes,0,,,,,1PC BRCD DRS,,,,,,,,,,,,,,22002750083,JCPENNEY
IN,D1491-CHAMP-16,Yes,0,,,,,1PC BRCD DRS,,,,,,,,,,,,,,22002750091,JCPENNEY
IN,D1491-CHAMP-18,Yes,0,,,,,1PC BRCD DRS,,,,,,,,,,,,,,22002750109,JCPENNEY
IN,D1491-CHAMP-8,Yes,0,,,,,1PC BRCD DRS,,,,,,,,,,,,,,22002750059,JCPENNEY
IN,D1491W-CHAMP-14W,Yes,2,,,,,1PC BRCD DRS,,,,,,,,,,,,,,87607650018,JCPENNEY
IN,D1491W-CHAMP-16W,Yes,3,,,,,1PC BRCD DRS,,,,,,,,,,,,,,87607650026,JCPENNEY
IN,D1491W-CHAMP-18W,Yes,3,,,,,1PC BRCD DRS,,,,,,,,,,,,,,87607650034,JCPENNEY
IN,D1491W-CHAMP-20W,Yes,3,,,,,1PC BRCD DRS,,,,,,,,,,,,,,87607650042,JCPENNEY
IN,D1491W-CHAMP-22W,Yes,3,,,,,1PC BRCD DRS,,,,,,,,,,,,,,87607650059,JCPENNEY
IN,D1491W-CHAMP-24W,Yes,3,,,,,1PC BRCD DRS,,,,,,,,,,,,,,87607650067,JCPENNEY
IN,D1494-IVORY-10,Yes,2,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700067,JCPENNEY
IN,D1494-IVORY-12,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700075,JCPENNEY
IN,D1494-IVORY-14,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700083,JCPENNEY
IN,D1494-IVORY-16,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700091,JCPENNEY
IN,D1494-IVORY-18,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700109,JCPENNEY
IN,D1494-PINK-10,Yes,2,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700265,JCPENNEY
IN,D1494-PINK-12,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700273,JCPENNEY
IN,D1494-PINK-14,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700281,JCPENNEY
IN,D1494-PINK-16,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700299,JCPENNEY
IN,D1494-PINK-18,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002700307,JCPENNEY
IN,D1494W-IVORY-14W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570018,JCPENNEY
IN,D1494W-IVORY-16W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570026,JCPENNEY
IN,D1494W-IVORY-18W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570034,JCPENNEY
IN,D1494W-IVORY-20W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570042,JCPENNEY
IN,D1494W-IVORY-22W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570059,JCPENNEY
IN,D1494W-IVORY-24W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570067,JCPENNEY
IN,D1494W-IVORY-26W,Yes,2,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570075,JCPENNEY
IN,D1494W-PINK-14W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570216,JCPENNEY
IN,D1494W-PINK-16W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570224,JCPENNEY
IN,D1494W-PINK-18W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570232,JCPENNEY
IN,D1494W-PINK-20W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570240,JCPENNEY
IN,D1494W-PINK-22W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570257,JCPENNEY
IN,D1494W-PINK-24W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570265,JCPENNEY
IN,D1494W-PINK-26W,Yes,2,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607570273,JCPENNEY
IN,D1495-NAVY-10,Yes,2,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690067,JCPENNEY
IN,D1495-NAVY-12,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690075,JCPENNEY
IN,D1495-NAVY-14,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690083,JCPENNEY
IN,D1495-NAVY-16,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690091,JCPENNEY
IN,D1495-NAVY-18,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690109,JCPENNEY
IN,D1495-WHITE-10,Yes,2,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690265,JCPENNEY
IN,D1495-WHITE-12,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690273,JCPENNEY
IN,D1495-WHITE-14,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690281,JCPENNEY
IN,D1495-WHITE-16,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690299,JCPENNEY
IN,D1495-WHITE-18,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,22002690307,JCPENNEY
IN,D1495W-NAVY-14W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550018,JCPENNEY
IN,D1495W-NAVY-16W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550026,JCPENNEY
IN,D1495W-NAVY-18W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550034,JCPENNEY
IN,D1495W-NAVY-20W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550042,JCPENNEY
IN,D1495W-NAVY-22W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550059,JCPENNEY
IN,D1495W-NAVY-24W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550067,JCPENNEY
IN,D1495W-NAVY-26W,Yes,2,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550075,JCPENNEY
IN,D1495W-WHITE-14W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550216,JCPENNEY
IN,D1495W-WHITE-16W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550224,JCPENNEY
IN,D1495W-WHITE-18W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550232,JCPENNEY
IN,D1495W-WHITE-20W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550240,JCPENNEY
IN,D1495W-WHITE-22W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550257,JCPENNEY
IN,D1495W-WHITE-24W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550265,JCPENNEY
IN,D1495W-WHITE-26W,Yes,3,,,,,1PC SHEATH DRS,,,,,,,,,,,,,,87607550273,JCPENNEY
IN,D1496-BLUE-10,Yes,0,,,,,1PC DRESS,,,,,,,,,,,,,,22001830067,JCPENNEY
IN,D1496-BLUE-12,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,22001830075,JCPENNEY
IN,D1496-BLUE-14,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,22001830083,JCPENNEY
IN,D1496-BLUE-16,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,22001830091,JCPENNEY
IN,D1496-BLUE-18,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,22001830109,JCPENNEY
IN,D1496W-BLUE-14W,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,87605640018,JCPENNEY
IN,D1496W-BLUE-16W,Yes,0,,,,,1PC DRESS,,,,,,,,,,,,,,87605640026,JCPENNEY
IN,D1496W-BLUE-18W,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,87605640034,JCPENNEY
IN,D1496W-BLUE-20W,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,87605640042,JCPENNEY
IN,D1496W-BLUE-22W,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,87605640059,JCPENNEY
IN,D1496W-BLUE-24W,Yes,3,,,,,1PC DRESS,,,,,,,,,,,,,,87605640067,JCPENNEY
IN,D1497-GREEN-10,Yes,0,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002680067,JCPENNEY
IN,D1497-GREEN-12,Yes,1,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002680075,JCPENNEY
IN,D1497-GREEN-14,Yes,2,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002680083,JCPENNEY
IN,D1497-GREEN-16,Yes,2,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002680091,JCPENNEY
IN,D1497-GREEN-18,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,22002680109,JCPENNEY
IN,D1497W-GREEN-14W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607560018,JCPENNEY
IN,D1497W-GREEN-16W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607560026,JCPENNEY
IN,D1497W-GREEN-18W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607560034,JCPENNEY
IN,D1497W-GREEN-20W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607560042,JCPENNEY
IN,D1497W-GREEN-22W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607560059,JCPENNEY
IN,D1497W-GREEN-24W,Yes,3,,,,,1PC A-LINE DRS,,,,,,,,,,,,,,87607560067,JCPENNEY
IN,D1498-NAVY-10,Yes,2,,,,,1PC LONG DRS,,,,,,,,,,,,,,22002670067,JCPENNEY
IN,D1498-NAVY-12,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,22002670075,JCPENNEY
IN,D1498-NAVY-14,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,22002670083,JCPENNEY
IN,D1498-NAVY-16,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,22002670091,JCPENNEY
IN,D1498-NAVY-18,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,22002670109,JCPENNEY
IN,D1498W-NAVY-14W,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,87607540018,JCPENNEY
IN,D1498W-NAVY-16W,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,87607540026,JCPENNEY
IN,D1498W-NAVY-18W,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,87607540034,JCPENNEY
IN,D1498W-NAVY-20W,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,87607540042,JCPENNEY
IN,D1498W-NAVY-22W,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,87607540059,JCPENNEY
IN,D1498W-NAVY-24W,Yes,3,,,,,1PC LONG DRS,,,,,,,,,,,,,,87607540067,JCPENNEY
IN,G0844-BLACK-10,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700067,JCPENNEY
IN,G0844-BLACK-12,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700075,JCPENNEY
IN,G0844-BLACK-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700083,JCPENNEY
IN,G0844-BLACK-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700091,JCPENNEY
IN,G0844-BLACK-18,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700109,JCPENNEY
IN,G0844-BLACK-8,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700059,JCPENNEY
IN,G0844-ICE BLUE-10,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700265,JCPENNEY
IN,G0844-ICE BLUE-12,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700273,JCPENNEY
IN,G0844-ICE BLUE-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700281,JCPENNEY
IN,G0844-ICE BLUE-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700299,JCPENNEY
IN,G0844-ICE BLUE-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700307,JCPENNEY
IN,G0844-ICE BLUE-8,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700257,JCPENNEY
IN,G0844-IVORY-10,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700463,JCPENNEY
IN,G0844-IVORY-12,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700471,JCPENNEY
IN,G0844-IVORY-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700489,JCPENNEY
IN,G0844-IVORY-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700497,JCPENNEY
IN,G0844-IVORY-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700505,JCPENNEY
IN,G0844-IVORY-8,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700455,JCPENNEY
IN,G0844W-BLACK-14W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730018,JCPENNEY
IN,G0844W-BLACK-16W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730026,JCPENNEY
IN,G0844W-BLACK-18W,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730034,JCPENNEY
IN,G0844W-BLACK-20W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730042,JCPENNEY
IN,G0844W-BLACK-22W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730059,JCPENNEY
IN,G0844W-BLACK-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730067,JCPENNEY
IN,G0844-WHITE-10,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700661,JCPENNEY
IN,G0844-WHITE-12,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700679,JCPENNEY
IN,G0844-WHITE-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700687,JCPENNEY
IN,G0844-WHITE-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700695,JCPENNEY
IN,G0844-WHITE-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700703,JCPENNEY
IN,G0844-WHITE-8,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928700653,JCPENNEY
IN,G0844W-ICE BLUE-14W,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730216,JCPENNEY
IN,G0844W-ICE BLUE-16W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730224,JCPENNEY
IN,G0844W-ICE BLUE-18W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730232,JCPENNEY
IN,G0844W-ICE BLUE-20W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730240,JCPENNEY
IN,G0844W-ICE BLUE-22W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730257,JCPENNEY
IN,G0844W-ICE BLUE-24W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730265,JCPENNEY
IN,G0844W-IVORY-14W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730414,JCPENNEY
IN,G0844W-IVORY-16W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730422,JCPENNEY
IN,G0844W-IVORY-18W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730430,JCPENNEY
IN,G0844W-IVORY-20W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730448,JCPENNEY
IN,G0844W-IVORY-22W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730455,JCPENNEY
IN,G0844W-IVORY-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730463,JCPENNEY
IN,G0844W-IVORY-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730471,JCPENNEY
IN,G0844W-WHITE-14W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730612,JCPENNEY
IN,G0844W-WHITE-16W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730620,JCPENNEY
IN,G0844W-WHITE-18W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730638,JCPENNEY
IN,G0844W-WHITE-20W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730646,JCPENNEY
IN,G0844W-WHITE-22W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730653,JCPENNEY
IN,G0844W-WHITE-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602730661,JCPENNEY
IN,G1007-BLACK-10,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660067,JCPENNEY
IN,G1007-BLACK-12,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660075,JCPENNEY
IN,G1007-BLACK-14,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660083,JCPENNEY
IN,G1007-BLACK-16,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660091,JCPENNEY
IN,G1007-BLACK-18,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660109,JCPENNEY
IN,G1007-BLACK-8,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660059,JCPENNEY
IN,G1007-CHOCOLATE-10,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660265,JCPENNEY
IN,G1007-CHOCOLATE-12,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660273,JCPENNEY
IN,G1007-CHOCOLATE-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660281,JCPENNEY
IN,G1007-CHOCOLATE-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660299,JCPENNEY
IN,G1007-CHOCOLATE-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660307,JCPENNEY
IN,G1007-EMERALD-10,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660463,JCPENNEY
IN,G1007-EMERALD-12,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660471,JCPENNEY
IN,G1007-EMERALD-14,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660489,JCPENNEY
IN,G1007-EMERALD-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660497,JCPENNEY
IN,G1007-EMERALD-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660505,JCPENNEY
IN,G1007-RED-10,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660661,JCPENNEY
IN,G1007-RED-12,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660679,JCPENNEY
IN,G1007-RED-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660687,JCPENNEY
IN,G1007-RED-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660695,JCPENNEY
IN,G1007-RED-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928660703,JCPENNEY
IN,G1007W-BLACK-14W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680018,JCPENNEY
IN,G1007W-BLACK-16W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680026,JCPENNEY
IN,G1007W-BLACK-18W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680034,JCPENNEY
IN,G1007W-BLACK-20W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680042,JCPENNEY
IN,G1007W-BLACK-22W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680059,JCPENNEY
IN,G1007W-BLACK-24W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680067,JCPENNEY
IN,G1007W-BLACK-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680075,JCPENNEY
IN,G1007W-CHOCOLATE-14W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680216,JCPENNEY
IN,G1007W-CHOCOLATE-16W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680224,JCPENNEY
IN,G1007W-CHOCOLATE-18W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680232,JCPENNEY
IN,G1007W-CHOCOLATE-20W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602680240,JCPENNEY
