IN,Supplier Sku,YES,Quantity,Blank,Blank,Blank,Blank,Decription,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,SKU,JCPENNEY
IN,0650-ROYAL-10,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670463,JCPENNEY
IN,0650-ROYAL-12,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670471,JCPENNEY
IN,0650-ROYAL-14,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670489,JCPENNEY
IN,0650-ROYAL-16,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670497,JCPENNEY
IN,0650-ROYAL-18,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670505,JCPENNEY
IN,0650-ROYAL-8,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670455,JCPENNEY
IN,0650-SILVER-10,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670661,JCPENNEY
IN,0650-SILVER-12,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670679,JCPENNEY
IN,0650-SILVER-14,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670687,JCPENNEY
IN,0650-SILVER-16,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670695,JCPENNEY
IN,0650-SILVER-18,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670703,JCPENNEY
IN,0650-SILVER-8,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670653,JCPENNEY
IN,0650W-BLACK-14W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700018,JCPENNEY
IN,0650W-BLACK-16W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700026,JCPENNEY
IN,0650W-BLACK-18W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700034,JCPENNEY
IN,0650W-BLACK-20W,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700042,JCPENNEY
IN,0650W-BLACK-22W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700059,JCPENNEY
IN,0650W-BLACK-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700067,JCPENNEY
IN,0650W-BLACK-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700075,JCPENNEY
IN,0650W-BLACK-28W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700083,JCPENNEY
IN,0650W-BLACK-30W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700091,JCPENNEY
IN,0650W-CHOCOLATE-14W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700216,JCPENNEY
IN,0650W-CHOCOLATE-16W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700224,JCPENNEY
