OS CODE,WINFA CODE,COLOR,SIZE,,,,
HM964-Lime,HM964,LIME,,,,,
HM964-White,HM964,WHT,,,,,
G1001-Black-10,G1001,BLK,10,,,,
G1001-Black-12,G1001,BLK,12,,,,
G1001-Black-14,G1001,BLK,14,,,,
G1001-Black-16,G1001,BLK,16,,,,
G1001-Black-18,G1001,BLK,18,,,,
G1001-Brt Yel-10,,,,,,,
G1001-Brt Yel-12,,,,,,,
G1001-Brt Yel-14,,,,,,,
G1001-Brt Yel-16,,,,,,,
G1001-Brt Yel-18,,,,,,,
G1001-Brt Yel-8,,,,,,,
G1001-LPurple-10,,,,,,,
G1001-LPurple-12,,,,,,,
G1001-LPurple-14,,,,,,,
G1001-LPurple-16,,,,,,,
G1001-LPurple-18,,,,,,,
G1001-Red-10,,,,,,,
G1001-Red-12,,,,,,,
G1001-Red-14,,,,,,,
G1001-Red-16,,,,,,,
G1001-Red-18,,,,,,,
G1001-Silver-10,G1001,LT. SILVER,,,,,
G1001-Silver-12,G1001,LT. SILVER,,,,,
G1001-Silver-14,G1001,LT. SILVER,,,,,
G1001-Silver-16,G1001,LT. SILVER,,,,,
G1001-Silver-18,G1001,LT. SILVER,,,,,
G1001W-Black-14W,G1001W,BLK,,,,,
G1001W-Black-16W,G1001W,BLK,,,,,
G1001W-Black-18W,G1001W,BLK,,,,,
G1001W-Black-20W,G1001W,BLK,,,,,
G1001W-Black-22W,G1001W,BLK,,,,,
G1001W-Black-24W,G1001W,BLK,,,,,
G1001W-Black-26,G1001W,BLK,,,,,
G1001W-Brt Yel-16W,,,,,,,
G1001W-Brt Yel-18W,,,,,,,
G1001W-Brt Yel-20W,,,,,,,
G1001W-Brt Yel-22W,,,,,,,
G1001W-Brt Yel-24W,,,,,,,
G1001W-Brt Yel-26W,,,,,,,
G1001-White-10,G1001,WHT,,,,,
G1001-White-12,G1001,WHT,,,,,
G1001-White-14,G1001,WHT,,,,,
G1001-White-16,G1001,WHT,,,,,
G1001-White-18,G1001,WHT,,,,,
G1001W-Lt.Purple-14W,,,,,,,
G1001W-Lt.Purple-16W,,,,,,,
G1001W-Lt.Purple-18W,,,,,,,
G1001W-Lt.Purple-20W,,,,,,,
G1001W-Lt.Purple-22W,,,,,,,
G1001W-Lt.Purple-24W,,,,,,,
G1001W-Lt.Purple-26W,,,,,,,
G1001W-Red-14W,,,,,,,
G1001W-Red-16W,,,,,,,
G1001W-Red-18W,,,,,,,
G1001W-Red-20W,,,,,,,
G1001W-Red-22W,,,,,,,
G1001W-Red-24W,,,,,,,
G1001W-Silver-14W,G1001W,DK. SILVER,,,,,
G1001W-Silver-16W,G1001W,DK. SILVER,,,,,
G1001W-Silver-18W,G1001W,DK. SILVER,,,,,
G1001W-Silver-20W,G1001W,DK. SILVER,,,,,
G1001W-Silver-22W,G1001W,DK. SILVER,,,,,
G1001W-Silver-24W,G1001W,DK. SILVER,,,,,
G1001W-Silver-26W,G1001W,DK. SILVER,,,,,
G1001W-White-14W,G1001W,WHT,,,,,
G1001W-White-16W,G1001W,WHT,,,,,
G1001W-White-18W,G1001W,WHT,,,,,
G1001W-White-20W,G1001W,WHT,,,,,
G1001W-White-22W,G1001W,WHT,,,,,
G1001W-White-24W,G1001W,WHT,,,,,
G1001W-White-26W,G1001W,WHT,,,,,
G1002-Navy-10,,,,,,,
G1002-Navy-12,,,,,,,
G1002-Navy-14,,,,,,,
G1002-Navy-16,,,,,,,
G1002-Navy-18,,,,,,,
G1002-White-10,,,,,,,
G1002-White-12,,,,,,,
G1002-White-14,,,,,,,
G1002-White-16,,,,,,,
G1002-White-18,,,,,,,
G1002-Wine-10,,,,,,,
G1002-Wine-12,,,,,,,
G1002-Wine-14,,,,,,,
G1002-Wine-16,,,,,,,
G1002-Wine-18,,,,,,,
G1002W-Navy-14W,,,,,,,
G1002W-Navy-16W,,,,,,,
G1002W-Navy-18W,,,,,,,
G1002W-Navy-20W,,,,,,,
G1002W-Navy-22W,,,,,,,
G1002W-Navy-24W,,,,,,,
G1002W-White-14W,,,,,,,
G1002W-White-16W,,,,,,,
G1002W-White-18W,,,,,,,
G1002W-White-20W,,,,,,,
G1002W-White-22W,,,,,,,
G1002W-White-24W,,,,,,,
G1002W-Wine-14W,,,,,,,
G1002W-Wine-16W,,,,,,,
G1002W-Wine-18W,,,,,,,
G1002W-Wine-20W,,,,,,,
G1002W-Wine-22W,,,,,,,
G1002W-Wine-24W,,,,,,,
G1003-Black-10,,,,,,,
G1003-Black-12,,,,,,,
G1003-Black-14,,,,,,,
G1003-Black-16,,,,,,,
G1003-Black-18,,,,,,,
G1003-HPink-10,,,,,,,
G1003-HPink-12,,,,,,,
G1003-HPink-14,,,,,,,
G1003-HPink-16,,,,,,,
G1003-HPink-18,,,,,,,
G1003-Purple-10,,,,,,,
G1003-Purple-12,,,,,,,
G1003-Purple-14,,,,,,,
G1003-Purple-16,,,,,,,
G1003-Purple-18,,,,,,,
G1003-Royal-10,,,,,,,
G1003-Royal-12,,,,,,,
G1003-Royal-14,,,,,,,
G1003-Royal-16,,,,,,,
G1003-Royal-18,,,,,,,
G1003-Silver-10,,,,,,,
G1003-Silver-12,,,,,,,
G1003-Silver-14,,,,,,,
G1003-Silver-16,,,,,,,
G1003-Silver-18,,,,,,,
G1003W-Black-14W,,,,,,,
G1003W-Black-16W,,,,,,,
G1003W-Black-18W,,,,,,,
G1003W-Black-20W,,,,,,,
G1003W-Black-22W,,,,,,,
G1003W-Black-24W,,,,,,,
G1003W-Black-26W,,,,,,,
G1003-White-10,,,,,,,
G1003-White-12,,,,,,,
G1003-White-14,,,,,,,
G1003-White-16,,,,,,,
G1003-White-18,,,,,,,
G1003W-Hot Pink-14W,,,,,,,
G1003W-Hot Pink-16W,,,,,,,
G1003W-Hot Pink-18W,,,,,,,
G1003W-Hot Pink-20W,,,,,,,
G1003W-Hot Pink-22W,,,,,,,
G1003W-Hot Pink-24W,,,,,,,
G1003W-Hot Pink-26W,,,,,,,
G1003-Wine-10,,,,,,,
G1003-Wine-12,,,,,,,
G1003-Wine-14,,,,,,,
G1003-Wine-16,,,,,,,
G1003-Wine-18,,,,,,,
G1003W-Purple-14W,G1003W,PURPLE,,,,,
G1003W-Purple-16W,G1003W,PURPLE,,,,,
G1003W-Purple-18W,G1003W,PURPLE,,,,,
G1003W-Purple-20W,G1003W,PURPLE,,,,,
G1003W-Purple-22W,G1003W,PURPLE,,,,,
G1003W-Purple-24W,G1003W,PURPLE,,,,,
G1003W-Purple-26W,G1003W,PURPLE,,,,,
G1007-Black-10,G1007,BLK,,,,,
G1007-Black-12,G1007,BLK,,,,,
G1007-Black-14,G1007,BLK,,,,,
G1007-Black-16,G1007,BLK,,,,,
G1007-Black-18,G1007,BLK,,,,,
G1007-Chocolate-10,G1007,CHOCO,,,,,
G1007-Chocolate-12,G1007,CHOCO,,,,,
G1007-Chocolate-14,G1007,CHOCO,,,,,
G1007-Chocolate-16,G1007,CHOCO,,,,,
G1007-Chocolate-18,G1007,CHOCO,,,,,
G1007-Green-10,,,,,,,
G1007-Green-12,,,,,,,
G1007-Green-14,,,,,,,
G1007-Green-16,,,,,,,
G1007-Green-18,,,,,,,
G1007-IBlue-10,,,,,,,
G1007-IBlue-12,,,,,,,
G1007-IBlue-14,,,,,,,
G1007-IBlue-16,,,,,,,
G1007-IBlue-18,,,,,,,
G1007-Red-10,G1007,RED,,,,,
G1007-Red-12,G1007,RED,,,,,
