Style,Supplier SKU,UPC,Title,Description,Size,Color,URL,,,,,
#0654,0654W-PURPLE-20W,,,,20W,PURPLE,,,,,,
#0654,0654W-PURPLE-22W,,,,22W,PURPLE,,,,,,
#0654,0654W-PURPLE-24W,,,,24W,PURPLE,,,,,,
#0654,0654W-PURPLE-26W,,,,26W,PURPLE,,,,,,
#0654,0654W-RED-14W,,,,14W,RED,,,,,,
#0654,0654W-RED-16W,,,,16W,RED,,,,,,
#0654,0654W-RED-18W,,,,18W,RED,,,,,,
#0654,0654W-RED-20W,,,,20W,RED,,,,,,
#0654,0654W-RED-22W,,,,22W,RED,,,,,,
#0654,0654W-RED-24W,,,,24W,RED,,,,,,
#0654,0654W-RED-26W,,,,26W,RED,,,,,,
#0654,0654W-RYL-14W,,,,14W,RYL,,,,,,
#0654,0654W-RYL-16W,,,,16W,RYL,,,,,,
#0654,0654W-RYL-18W,,,,18W,RYL,,,,,,
#0654,0654W-RYL-20W,,,,20W,RYL,,,,,,
#0654,0654W-RYL-22W,,,,22W,RYL,,,,,,
#0654,0654W-RYL-24W,,,,24W,RYL,,,,,,
#0654,0654W-RYL-26W,,,,26W,RYL,,,,,,
#0655,0655-BLK-8,,,,8,BLK,,,,,,
#0655,0655-BLK-10,,,,10,BLK,,,,,,
#0655,0655-BLK-12,,,,12,BLK,,,,,,
#0655,0655-BLK-14,,,,14,BLK,,,,,,
#0655,0655-BLK-16,,,,16,BLK,,,,,,
#0655,0655-BLK-18,,,,18,BLK,,,,,,
#0655,0655-NAVY #1833-8,,,,8,NAVY #1833,,,,,,
#0655,0655-NAVY #1833-10,,,,10,NAVY #1833,,,,,,
#0655,0655-NAVY #1833-12,,,,12,NAVY #1833,,,,,,
#0655,0655-NAVY #1833-14,,,,14,NAVY #1833,,,,,,
#0655,0655-NAVY #1833-16,,,,16,NAVY #1833,,,,,,
#0655,0655-NAVY #1833-18,,,,18,NAVY #1833,,,,,,
#0655,0655-RYL #1833-8,,,,8,RYL #1833,,,,,,
#0655,0655-RYL #1833-10,,,,10,RYL #1833,,,,,,
#0655,0655-RYL #1833-12,,,,12,RYL #1833,,,,,,
#0655,0655-RYL #1833-14,,,,14,RYL #1833,,,,,,
#0655,0655-RYL #1833-16,,,,16,RYL #1833,,,,,,
#0655,0655-RYL #1833-18,,,,18,RYL #1833,,,,,,
#0655,0655W-BLK-14W,,,,14W,BLK,,,,,,
#0655,0655W-BLK-16W,,,,16W,BLK,,,,,,
#0655,0655W-BLK-18W,,,,18W,BLK,,,,,,
#0655,0655W-BLK-20W,,,,20W,BLK,,,,,,
#0655,0655W-BLK-22W,,,,22W,BLK,,,,,,
#0655,0655W-BLK-24W,,,,24W,BLK,,,,,,
#0655,0655W-BLK-26W,,,,26W,BLK,,,,,,
#0655,0655W-NAVY #1833-14W,,,,14W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-16W,,,,16W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-18W,,,,18W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-20W,,,,20W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-22W,,,,22W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-24W,,,,24W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-26W,,,,26W,NAVY #1833,,,,,,
#0655,0655W-NAVY #1833-28W,,,,28W,NAVY #1833,,,,,,
#0655,0655W-RYL #1833-14W,,,,14W,RYL #1833,,,,,,
#0655,0655W-RYL #1833-16W,,,,16W,RYL #1833,,,,,,
#0655,0655W-RYL #1833-18W,,,,18W,RYL #1833,,,,,,
#0655,0655W-RYL #1833-20W,,,,20W,RYL #1833,,,,,,
#0655,0655W-RYL #1833-22W,,,,22W,RYL #1833,,,,,,
#0655,0655W-RYL #1833-24W,,,,24W,RYL #1833,,,,,,
#0655,0655W-RYL #1833-26W,,,,26W,RYL #1833,,,,,,
#0655,0655W-WHT-14W,,,,14W,WHT,,,,,,
#0655,0655W-WHT-16W,,,,16W,WHT,,,,,,
#0655,0655W-WHT-18W,,,,18W,WHT,,,,,,
#0655,0655W-WHT-20W,,,,20W,WHT,,,,,,
#0655,0655W-WHT-22W,,,,22W,WHT,,,,,,
#0655,0655W-WHT-24W,,,,24W,WHT,,,,,,
#0655,0655W-WHT-26W,,,,26W,WHT,,,,,,
#0707,0707W-WHT-14W,,,,14W,WHT,,,,,,
#0707,0707W-WHT-16W,,,,16W,WHT,,,,,,
#0707,0707W-WHT-18W,,,,18W,WHT,,,,,,
#0707,0707W-WHT-20W,,,,20W,WHT,,,,,,
#0707,0707W-WHT-22W,,,,22W,WHT,,,,,,
#0707,0707W-WHT-24W,,,,24W,WHT,,,,,,
#0707,0707W-WHT-26W,,,,26W,WHT,,,,,,
#0707,0707W-WHT-28W,,,,28W,WHT,,,,,,
#0708,0708-BLK-8,,,,8,BLK,,,,,,
#0708,0708-BLK-10,,,,10,BLK,,,,,,
#0708,0708-BLK-12,,,,12,BLK,,,,,,
#0708,0708-BLK-14,,,,14,BLK,,,,,,
#0708,0708-BLK-16,,,,16,BLK,,,,,,
#0708,0708-BLK-18,,,,18,BLK,,,,,,
#0708,0708-NAVY-8,,,,8,NAVY,,,,,,
#0708,0708-NAVY-10,,,,10,NAVY,,,,,,
#0708,0708-NAVY-12,,,,12,NAVY,,,,,,
#0708,0708-NAVY-14,,,,14,NAVY,,,,,,
#0708,0708-NAVY-16,,,,16,NAVY,,,,,,
#0708,0708-NAVY-18,,,,18,NAVY,,,,,,
#0708,0708W-BLK-14W,,,,14W,BLK,,,,,,
#0708,0708W-BLK-16W,,,,16W,BLK,,,,,,
#0708,0708W-BLK-18W,,,,18W,BLK,,,,,,
#0708,0708W-BLK-20W,,,,20W,BLK,,,,,,
#0708,0708W-BLK-22W,,,,22W,BLK,,,,,,
