Style,Supplier SKU,UPC,Title,Description,Size,Color,URL,,,,,
D1344,D1344W-GLD/BLK-14W,,,,14W,GLD/BLK,,,,,,
D1344,D1344W-GLD/BLK-16W,,,,16W,GLD/BLK,,,,,,
D1344,D1344W-GLD/BLK-18W,,,,18W,GLD/BLK,,,,,,
D1344,D1344W-GLD/BLK-20W,,,,20W,GLD/BLK,,,,,,
D1344,D1344W-GLD/BLK-22W,,,,22W,GLD/BLK,,,,,,
D1344,D1344W-GLD/BLK-24W,,,,24W,GLD/BLK,,,,,,
D1344,D1344W-GLD/BLK-26W,,,,26W,GLD/BLK,,,,,,
D1344,D1344W-WHT 01-14W,,,,14W,WHT 01,,,,,,
D1344,D1344W-WHT 01-16W,,,,16W,WHT 01,,,,,,
D1344,D1344W-WHT 01-18W,,,,18W,WHT 01,,,,,,
D1344,D1344W-WHT 01-20W,,,,20W,WHT 01,,,,,,
D1344,D1344W-WHT 01-22W,,,,22W,WHT 01,,,,,,
D1344,D1344W-WHT 01-24W,,,,24W,WHT 01,,,,,,
D1344,D1344W-WHT 01-26W,,,,26W,WHT 01,,,,,,
D1344,D1344W-WHT 01-28W,,,,28W,WHT 01,,,,,,
D1345,D1345-SAPPHIRE-10,,,,10,SAPPHIRE,,,,,,
D1345,D1345-SAPPHIRE-12,,,,12,SAPPHIRE,,,,,,
D1345,D1345-SAPPHIRE-14,,,,14,SAPPHIRE,,,,,,
D1345,D1345-SAPPHIRE-16,,,,16,SAPPHIRE,,,,,,
D1345,D1345-SAPPHIRE-18,,,,18,SAPPHIRE,,,,,,
D1345,D1345-WHT-10,,,,10,WHT,,,,,,
D1345,D1345-WHT-12,,,,12,WHT,,,,,,
D1345,D1345-WHT-14,,,,14,WHT,,,,,,
D1345,D1345-WHT-16,,,,16,WHT,,,,,,
D1345,D1345-WHT-18,,,,18,WHT,,,,,,
D1345,D1345W-GOLD-14W,,,,14W,GOLD,,,,,,
D1345,D1345W-GOLD-16W,,,,16W,GOLD,,,,,,
D1345,D1345W-GOLD-18W,,,,18W,GOLD,,,,,,
D1345,D1345W-GOLD-20W,,,,20W,GOLD,,,,,,
D1345,D1345W-GOLD-22W,,,,22W,GOLD,,,,,,
D1345,D1345W-GOLD-24W,,,,24W,GOLD,,,,,,
D1345,D1345W-GOLD-26W,,,,26W,GOLD,,,,,,
D1345,D1345W-SAPPHIRE-14W,,,,14W,SAPPHIRE,,,,,,
D1345,D1345W-SAPPHIRE-16W,,,,16W,SAPPHIRE,,,,,,
D1345,D1345W-SAPPHIRE-18W,,,,18W,SAPPHIRE,,,,,,
D1345,D1345W-SAPPHIRE-20W,,,,20W,SAPPHIRE,,,,,,
D1345,D1345W-SAPPHIRE-22W,,,,22W,SAPPHIRE,,,,,,
D1345,D1345W-SAPPHIRE-24W,,,,24W,SAPPHIRE,,,,,,
D1345,D1345W-SAPPHIRE-26W,,,,26W,SAPPHIRE,,,,,,
D1345,D1345W-WHT-14W,,,,14W,WHT,,,,,,
D1345,D1345W-WHT-16W,,,,16W,WHT,,,,,,
D1345,D1345W-WHT-18W,,,,18W,WHT,,,,,,
D1345,D1345W-WHT-20W,,,,20W,WHT,,,,,,
D1345,D1345W-WHT-22W,,,,22W,WHT,,,,,,
D1345,D1345W-WHT-24W,,,,24W,WHT,,,,,,
D1345,D1345W-WHT-26W,,,,26W,WHT,,,,,,
D1346,D1346-BLK-10,,,,10,BLK,,,,,,
D1346,D1346-BLK-12,,,,12,BLK,,,,,,
D1346,D1346-BLK-14,,,,14,BLK,,,,,,
D1346,D1346-BLK-16,,,,16,BLK,,,,,,
D1346,D1346-BLK-18,,,,18,BLK,,,,,,
D1346,D1346W-BLK-14W,,,,14W,BLK,,,,,,
D1346,D1346W-BLK-16W,,,,16W,BLK,,,,,,
D1346,D1346W-BLK-18W,,,,18W,BLK,,,,,,
D1346,D1346W-BLK-20W,,,,20W,BLK,,,,,,
D1346,D1346W-BLK-22W,,,,22W,BLK,,,,,,
D1346,D1346W-BLK-24W,,,,24W,BLK,,,,,,
D1346,D1346W-BLK-26W,,,,26W,BLK,,,,,,
D1347,D1347-MULTI-10,,,,10,MULTI,,,,,,
D1347,D1347-MULTI-12,,,,12,MULTI,,,,,,
D1347,D1347-MULTI-14,,,,14,MULTI,,,,,,
D1347,D1347-MULTI-16,,,,16,MULTI,,,,,,
D1347,D1347-MULTI-18,,,,18,MULTI,,,,,,
D1347,D1347W-MULTI-14W,,,,14W,MULTI,,,,,,
D1347,D1347W-MULTI-16W,,,,16W,MULTI,,,,,,
D1347,D1347W-MULTI-18W,,,,18W,MULTI,,,,,,
D1347,D1347W-MULTI-20W,,,,20W,MULTI,,,,,,
D1347,D1347W-MULTI-22W,,,,22W,MULTI,,,,,,
D1347,D1347W-MULTI-24W,,,,24W,MULTI,,,,,,
D1347,D1347W-MULTI-26W,,,,26W,MULTI,,,,,,
D1348,D1348-MULTI-10,,,,10,MULTI,,,,,,
D1348,D1348-MULTI-12,,,,12,MULTI,,,,,,
D1348,D1348-MULTI-14,,,,14,MULTI,,,,,,
D1348,D1348-MULTI-16,,,,16,MULTI,,,,,,
D1348,D1348-MULTI-18,,,,18,MULTI,,,,,,
D1348,D1348W-MULTI-14W,,,,14W,MULTI,,,,,,
D1348,D1348W-MULTI-16W,,,,16W,MULTI,,,,,,
D1348,D1348W-MULTI-18W,,,,18W,MULTI,,,,,,
D1348,D1348W-MULTI-20W,,,,20W,MULTI,,,,,,
D1348,D1348W-MULTI-22W,,,,22W,MULTI,,,,,,
D1348,D1348W-MULTI-24W,,,,24W,MULTI,,,,,,
D1348,D1348W-MULTI-26W,,,,26W,MULTI,,,,,,
D1349,D1349-BLK/PNK-8,,,,8,BLK/PNK,,,,,,
D1349,D1349-BLK/PNK-10,,,,10,BLK/PNK,,,,,,
D1349,D1349-BLK/PNK-12,,,,12,BLK/PNK,,,,,,
D1349,D1349-BLK/PNK-14,,,,14,BLK/PNK,,,,,,
D1349,D1349-BLK/PNK-16,,,,16,BLK/PNK,,,,,,
D1349,D1349-BLK/PNK-18,,,,18,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-14W,,,,14W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-16W,,,,16W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-18W,,,,18W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-20W,,,,20W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-22W,,,,22W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-24W,,,,24W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-26W,,,,26W,BLK/PNK,,,,,,
D1349,D1349W-BLK/PNK-28W,,,,28W,BLK/PNK,,,,,,
D1423,D1423-DKSILVER-10,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,,10,DKSILVER,,,,,,
D1423,D1423-DKSILVER-12,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",12,DKSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	12	DKSILVER	"
D1423,D1423-DKSILVER-14,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",14,DKSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	14	DKSILVER	"
D1423,D1423-DKSILVER-16,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",16,DKSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	16	DKSILVER	"
D1423,D1423-DKSILVER-18,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",18,DKSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	18	DKSILVER	"
D1423B,D1423B-BLK-12,,,,12,BLK,,,,,,
D1423B,D1423B-BLK-14,,,,14,BLK,,,,,,
D1423B,D1423B-BLK-16,,,,16,BLK,,,,,,
D1423B,D1423B-BLK-18,,,,18,BLK,,,,,,
D1423B,D1423B-BLK-20,,,,20,BLK,,,,,,
D1423B,D1423B-CHAM-10,,,,10,CHAM,,,,,,
D1423B,D1423B-CHAM-12,,,,12,CHAM,,,,,,
D1423B,D1423B-CHAM-14,,,,14,CHAM,,,,,,
D1423B,D1423B-CHAM-16,,,,16,CHAM,,,,,,
D1423B,D1423B-CHAM-18,,,,18,CHAM,,,,,,
D1423B,D1423B-LT. SILVER-10,,,,10,LT. SILVER,,,,,,
D1423B,D1423B-LT. SILVER-12,,,,12,LT. SILVER,,,,,,
D1423B,D1423B-LT. SILVER-14,,,,14,LT. SILVER,,,,,,
D1423B,D1423B-LT. SILVER-16,,,,16,LT. SILVER,,,,,,
D1423B,D1423B-LT. SILVER-18,,,,18,LT. SILVER,,,,,,
D1423B,D1423BW-BLK-14W,,,,14W,BLK,,,,,,
D1423B,D1423BW-BLK-16W,,,,16W,BLK,,,,,,
D1423B,D1423BW-BLK-18W,,,,18W,BLK,,,,,,
D1423B,D1423BW-BLK-20W,,,,20W,BLK,,,,,,
D1423B,D1423BW-BLK-22W,,,,22W,BLK,,,,,,
D1423B,D1423BW-BLK-24W,,,,24W,BLK,,,,,,
D1423B,D1423BW-CHAM-14W,,,,14W,CHAM,,,,,,
D1423B,D1423BW-CHAM-16W,,,,16W,CHAM,,,,,,
D1423B,D1423BW-CHAM-18W,,,,18W,CHAM,,,,,,
D1423B,D1423BW-CHAM-20W,,,,20W,CHAM,,,,,,
D1423B,D1423BW-CHAM-22W,,,,22W,CHAM,,,,,,
D1423B,D1423BW-CHAM-24W,,,,24W,CHAM,,,,,,
D1423B,D1423BW-CHAM-26W,,,,26W,CHAM,,,,,,
D1423B,D1423BW-LT. SILVER-14W,,,,14W,LT. SILVER,,,,,,
D1423B,D1423BW-LT. SILVER-16W,,,,16W,LT. SILVER,,,,,,
D1423B,D1423BW-LT. SILVER-18W,,,,18W,LT. SILVER,,,,,,
D1423B,D1423BW-LT. SILVER-20W,,,,20W,LT. SILVER,,,,,,
D1423B,D1423BW-LT. SILVER-22W,,,,22W,LT. SILVER,,,,,,
D1423B,D1423BW-LT. SILVER-24W,,,,24W,LT. SILVER,,,,,,
D1423B,D1423BW-LT. SILVER-26W,,,,26W,LT. SILVER,,,,,,
D1423,D1423W-DSILVER-14W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",14W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	14W	DSILVER	"
D1423,D1423W-DSILVER-16W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",16W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	16W	DSILVER	"
D1423,D1423W-DSILVER-18W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",18W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	18W	DSILVER	"
D1423,D1423W-DSILVER-20W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",20W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	20W	DSILVER	"
D1423,D1423W-DSILVER-22W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",22W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	22W	DSILVER	"
D1423,D1423W-DSILVER-24W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",24W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	24W	DSILVER	"
D1423,D1423W-DSILVER-26W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",26W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	26W	DSILVER	"
D1423,D1423W-DSILVER-14W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",14W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	14W	DSILVER	"
D1423,D1423W-DSILVER-16W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",16W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	16W	DSILVER	"
D1423,D1423W-DSILVER-18W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",18W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	18W	DSILVER	"
D1423,D1423W-DSILVER-20W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",20W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	20W	DSILVER	"
D1423,D1423W-DSILVER-22W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.Lining: Fully LinedClosure: ZipperSleeve-length: 3/4 SleeveMaterial: PolyesterStyle: Mother of the Bride, Jacket DressNeck Style: V-NeckDress Length: Mid-LengthCare Instruction: Dry CleanExact Size: 10, 16, 14, 12Exact Color: Navy, SilverSize: 10, 18, 16, 14, 12Color: Blue, SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide",22W,DSILVER,,18,16,14, 12Color: Blue," SilverItem runs smallMeasurement Guide Click here to view our Women's Sizing Guide""	22W	DSILVER	"
D1424,D1424-BLK-10,,,,10,BLK,,,,,,
D1424,D1424-BLK-12,,,,12,BLK,,,,,,
D1424,D1424-BLK-14,,,,14,BLK,,,,,,
D1424,D1424-BLK-16,,,,16,BLK,,,,,,
D1424,D1424-BLK-18,,,,18,BLK,,,,,,
D1424,D1424-BURGUNDY-10,,,,10,BURGUNDY,,,,,,
D1424,D1424-BURGUNDY-12,,,,12,BURGUNDY,,,,,,
D1424,D1424-BURGUNDY-14,,,,14,BURGUNDY,,,,,,
D1424,D1424-BURGUNDY-16,,,,16,BURGUNDY,,,,,,
D1424,D1424-BURGUNDY-18,,,,18,BURGUNDY,,,,,,
D1424,D1424-CHAM-10,,,,10,CHAM,,,,,,
D1424,D1424-CHAM-12,,,,12,CHAM,,,,,,
D1424,D1424-CHAM-14,,,,14,CHAM,,,,,,
D1424,D1424-CHAM-16,,,,16,CHAM,,,,,,
D1424,D1424-CHAM-18,,,,18,CHAM,,,,,,
D1424,D1424-WHT-10,,,,10,WHT,,,,,,
D1424,D1424-WHT-12,,,,12,WHT,,,,,,
D1424,D1424-WHT-14,,,,14,WHT,,,,,,
D1424,D1424-WHT-16,,,,16,WHT,,,,,,
D1424,D1424-WHT-18,,,,18,WHT,,,,,,
D1424,D1424W-BURGUNDY-14W,,,,14W,BURGUNDY,,,,,,
D1424,D1424W-BURGUNDY-16W,,,,16W,BURGUNDY,,,,,,
D1424,D1424W-BURGUNDY-18W,,,,18W,BURGUNDY,,,,,,
D1424,D1424W-BURGUNDY-20W,,,,20W,BURGUNDY,,,,,,
D1424,D1424W-BURGUNDY-22W,,,,22W,BURGUNDY,,,,,,
D1424,D1424W-BURGUNDY-24W,,,,24W,BURGUNDY,,,,,,
D1424,D1424W-BURGUNDY-26W,,,,26W,BURGUNDY,,,,,,
D1424,D1424W-CHAM-14W,,,,14W,CHAM,,,,,,
D1424,D1424W-CHAM-16W,,,,16W,CHAM,,,,,,
D1424,D1424W-CHAM-18W,,,,18W,CHAM,,,,,,
D1424,D1424W-CHAM-20W,,,,20W,CHAM,,,,,,
D1424,D1424W-CHAM-22W,,,,22W,CHAM,,,,,,
D1424,D1424W-CHAM-24W,,,,24W,CHAM,,,,,,
D1424,D1424W-CHAM-26W,,,,26W,CHAM,,,,,,
D1424,D1424W-RYL-14W,,,,14W,RYL,,,,,,
D1424,D1424W-RYL-16W,,,,16W,RYL,,,,,,
D1424,D1424W-RYL-18W,,,,18W,RYL,,,,,,
D1424,D1424W-RYL-20W,,,,20W,RYL,,,,,,
D1424,D1424W-RYL-22W,,,,22W,RYL,,,,,,
D1424,D1424W-RYL-24W,,,,24W,RYL,,,,,,
D1424,D1424W-RYL-26W,,,,26W,RYL,,,,,,
D1424,D1424W-WHT-14W,,,,14W,WHT,,,,,,
D1424,D1424W-WHT-16W,,,,16W,WHT,,,,,,
D1424,D1424W-WHT-18W,,,,18W,WHT,,,,,,
D1424,D1424W-WHT-20W,,,,20W,WHT,,,,,,
D1424,D1424W-WHT-22W,,,,22W,WHT,,,,,,
D1424,D1424W-WHT-24W,,,,24W,WHT,,,,,,
D1424,D1424W-WHT-26W,,,,26W,WHT,,,,,,
D1435,D1435-BLK-6,,,,6,BLK,,,,,,
D1435,D1435-BLK-8,,,,8,BLK,,,,,,
D1435,D1435-BLK-10,,,,10,BLK,,,,,,
D1435,D1435-BLK-12,,,,12,BLK,,,,,,
D1435,D1435-BLK-14,,,,14,BLK,,,,,,
D1435,D1435-BLK-16,,,,16,BLK,,,,,,
D1435,D1435-BLK-18,,,,18,BLK,,,,,,
D1435,D1435-LAV-6,,,,6,LAV,,,,,,
D1435,D1435-LAV-8,,,,8,LAV,,,,,,
D1435,D1435-LAV-10,,,,10,LAV,,,,,,
D1435,D1435-LAV-12,,,,12,LAV,,,,,,
D1435,D1435-LAV-14,,,,14,LAV,,,,,,
D1435,D1435-LAV-16,,,,16,LAV,,,,,,
D1435,D1435-LAV-18,,,,18,LAV,,,,,,
D1435,D1435-PURPLE-6,,,,6,PURPLE,,,,,,
D1435,D1435-PURPLE-8,,,,8,PURPLE,,,,,,
D1435,D1435-PURPLE-10,,,,10,PURPLE,,,,,,
D1435,D1435-PURPLE-12,,,,12,PURPLE,,,,,,
D1435,D1435-PURPLE-14,,,,14,PURPLE,,,,,,
D1435,D1435-PURPLE-16,,,,16,PURPLE,,,,,,
D1435,D1435-PURPLE-18,,,,18,PURPLE,,,,,,
D1435,D1435-SAPPHIRE-6,,,,6,SAPPHIRE,,,,,,
D1435,D1435-SAPPHIRE-8,,,,8,SAPPHIRE,,,,,,
D1435,D1435-SAPPHIRE-10,,,,10,SAPPHIRE,,,,,,
D1435,D1435-SAPPHIRE-12,,,,12,SAPPHIRE,,,,,,
D1435,D1435-SAPPHIRE-14,,,,14,SAPPHIRE,,,,,,
D1435,D1435-SAPPHIRE-16,,,,16,SAPPHIRE,,,,,,
D1435,D1435-SAPPHIRE-18,,,,18,SAPPHIRE,,,,,,
D1435,D1435-WHT-6,,,,6,WHT,,,,,,
D1435,D1435-WHT-8,,,,8,WHT,,,,,,
D1435,D1435-WHT-10,,,,10,WHT,,,,,,
D1435,D1435-WHT-12,,,,12,WHT,,,,,,
D1435,D1435-WHT-14,,,,14,WHT,,,,,,
D1435,D1435-WHT-16,,,,16,WHT,,,,,,
D1435,D1435-WHT-18,,,,18,WHT,,,,,,
D1435,D1435W-BLK-14W,,,,14W,BLK,,,,,,
D1435,D1435W-BLK-16W,,,,16W,BLK,,,,,,
