Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
#0710,,,,,,,COLOR,WHT,SIZE,16,,,0710-WHT-16,1360,Shopify,0,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,WHT,SIZE,18,,,0710-WHT-18,1360,Shopify,0,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,16W,,,0710W-BLK-16W,1360,Shopify,0,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,18W,,,0710W-BLK-18W,1360,Shopify,0,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,20W,,,0710W-BLK-20W,1360,Shopify,0,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,22W,,,0710W-BLK-22W,1360,Shopify,2,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,24W,,,0710W-BLK-24W,1360,Shopify,1,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,26W,,,0710W-BLK-26W,1360,Shopify,2,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,28W,,,0710W-BLK-28W,1360,Shopify,1,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,30W,,,0710W-BLK-30W,1360,Shopify,0,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,CHOCO,SIZE,14W,,,0710W-CHOCO-14W,1360,Shopify,2,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,CHOCO,SIZE,16W,,,0710W-CHOCO-16W,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,CHOCO,SIZE,18W,,,0710W-CHOCO-18W,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
