Name,Address,City,State,Zip
Lexington Church Of God,1228 S Lake Dr,Lexington,SC,29073
Shepherd Church Of Nazarene,119 Ball Park Rd,Lexington,SC,29072
Beacon Baptist Church,338 Sease Hill Rd,Lexington,SC,29073
Life Springs Worship Center,5630 Platt Springs Rd,Lexington,SC,29073
Seventh Day Cafe,1223 S Lake Dr,Lexington,SC,29073
South Lexington Baptist Church,116 Brevard Pky,Lexington,SC,29073
New Beginning,2279 Two Notch Rd,Lexington,SC,29072
Cutting Edge Ministries,116 Torreyglen Dr,Lexington,SC,29072
Covenant Community Church,1302 Old Orangeburg Rd,Lexington,SC,29073
Platt Springs Rd Church Of God Parsonage,5235 Platt Springs Rd,Lexington,SC,29073
Spring Hill Ame Church,228 Windy Hollow Dr,Lexington,SC,29073
Calvary Chapel,1755 12th St,Cayce,SC,29033
Chapel Of Redemption,5181 Platt Springs Rd,Lexington,SC,29073
Victory Fellowship,217 Glassmaster Rd,Lexington,SC,29072
Rock Family Worship Center,5141 Platt Springs Rd,Lexington,SC,29073
Gethsemane Anabaptist Church,334 Andrew Corley Rd,Lexington,SC,29072
New Bethel Ame Church,500 S Lake Dr,Lexington,SC,29072
Iglesia Cristiana Jehova Reina,428 S Lake Dr,Lexington,SC,29072
Jehovah's Witnesses,4560 Highway 321,Gaston,SC,29053
Lexington Pentecostal Church,817 E Main St,Lexington,SC,29072
Bethany Lutheran Church,720 Bethany Church Rd,Lexington,SC,29073
Brenda Posey ,269 Cedarcrest Dr,Lexington,SC,29072
Calvery Springs Community Chr,6635 Platt Springs Rd,Lexington,SC,29073
Church Lexington Baptist,407 E Butler St,Lexington,SC,29072
Lexington Baptist Chr Cnslng,224 E Main St,Lexington,SC,29072
Pleasant Hill Bapt Church,300 Hermitage Rd,Lexington,SC,29072
Lighthouse Baptist Church,325 Church St,West Columbia,SC,29172
Midlands Christian Chr,1312 W Main St,Lexington,SC,29072
St Paul Bapt Church,606 W Main St,Lexington,SC,29072
