Name,Address,City,State,Zip
First Baptist Church-Atlanta,4400 N Peachtree Rd,Atlanta,GA,30338
First Corinth Missionary Bapt,2165 Donald Lee Hollowell Pky NW,Atlanta,GA,30318
Friendship Baptist Church,PO Box 40,Austell,GA,30168
Greater Ephesus Missionary Chr,50 Cleveland Ave SW,Atlanta,GA,30315
Greater Fairhill Baptist Chr,701 Hamilton E Holmes Dr NW,Atlanta,GA,30318
Greater Isreal Christian,3255 Empire Blvd SW,Atlanta,GA,30354
Greater Mt Calvary Baptist Chr,PO Box 4778,Atlanta,GA,30302
Greater Piney Grove Bapt Chr,1879 Glenwood Ave SE,Atlanta,GA,30316
Greater Springfield Baptist,1195 Heflund Ave,Warner Robins,GA,31093
Hills Park Baptist Church,1755 Annie St NW,Atlanta,GA,30318
Hunter Hills First Baptist Chr,166 Edwards St NW,Atlanta,GA,30314
Israel Baptist Church,2071 Hosea L Williams Dr NE,Atlanta,GA,30317
Jackson Memorial Baptist Chr,534 Fairburn Rd NW,Atlanta,GA,30331
Liberty Baptist Church,1077 Highway 314,Riverdale,GA,30296
Lindsay Street Baptist Church,550 Lindsey St NW,Atlanta,GA,30314
Lissie Chapel Baptist Church,404 Glen Iris Dr NE,Atlanta,GA,30308
Liveoak Baptist Church,2601 Flat Shoals Rd,Atlanta,GA,30349
Macedonia Baptist Church,1504 Macedonia Rd,Newnan,GA,30263
Midway Missionary Baptist Chr,2280 Godby Rd,Atlanta,GA,30349
Mt Calvary Baptist Church,367 Grant Ave,Macon,GA,31201
Mt Carmel Baptist Church,2515 Pope Rd,Douglasville,GA,30135
Mt Gilead Baptist Church,PO Box 92466,Atlanta,GA,30314
Mt Moriah Baptist Church,200 Joseph E Lowery Blvd SW,Atlanta,GA,30314
Mt Nebo Baptist Church Life,PO Box 150040,Atlanta,GA,30315
Mt Olive Baptist Church,4973 Washington Rd,Evans,GA,30809
Mt Pleasant Baptist Church,PO Box 395,Thomson,GA,30824
Mt Sinai Baptist Church,PO Box 805,Austell,GA,30168
Mt Vernon Baptist Church,340 Mt Vernon Church Rd,Dallas,GA,30157
Mt Zion Baptist Church,1036 N Main St,Jasper,GA,30143
New Bethesda Baptist Church,664 Angier Ave NE,Atlanta,GA,30308
New Hope Baptist Church,1836 Hickory Flat Hwy,Canton,GA,30115
New Jerusalem Baptist,PO Box 50213,Atlanta,GA,30302
North Peachtree Baptist Church,4805 Tilly Mill Rd,Atlanta,GA,30360
Northeast Baptist Church,4046 Chamblee Tucker Rd,Atlanta,GA,30340
Northside Drive Baptist Church,3100 Northside Dr NW,Atlanta,GA,30305
Northwoods Baptist Church,2605 Chamblee Tucker Rd,Atlanta,GA,30341
Peachtree Baptist Church,2108 Briarcliff Rd NE,Atlanta,GA,30329
Pilgrim Travelers Baptist Chr,1187 Martin Luther King Jr Dr NW,Atlanta,GA,30314
S E Kwang Korean Baptist Chr,3600 Donaldson Dr NE,Atlanta,GA,30319
Sandtown Baptist Church,5450 Campbellton Rd SW,Atlanta,GA,30331
Second Mount Vernon Baptist,230 Stovall St SE,Atlanta,GA,30316
Second-Ponce De Leon Baptist,2715 Peachtree Rd NE,Atlanta,GA,30305
Shiloh Missionary Baptist Chr,PO Box 115417,Atlanta,GA,30310
Springfield Missionary Baptist,1730 Hollywood Rd NW,Atlanta,GA,30318
St John Baptist Church,1800 Moore St,Macon,GA,31204
St Matthews Missionary Baptist,PO Box 170575,Atlanta,GA,30317
St Stephen Missionary Baptist,PO Box 91128,Atlanta,GA,30364
Sunny Side Baptist Church,1030 Sims St SW,Atlanta,GA,30310
Virginia Highland Baptist Chr,743 Virginia Ave NE,Atlanta,GA,30306
Welcome All Baptist Church,460 Bourne Dr SE,Smyrna,GA,30082
West Hunter Street Baptist Chr,1040 Ralph David Abernathy Blvd SW,Atlanta,GA,30310
West Oakland Baptist Church,1025 Violet St SW,Atlanta,GA,30310
Wheat Street Baptist Church,359 Auburn Ave NE,Atlanta,GA,30312
Wieuca Road Baptist Church,3626 Peachtree Rd NE,Atlanta,GA,30326
Winters Chapel Baptist Church,6625 Winters Chapel Rd,Atlanta,GA,30360
Woodland Hills Baptist Church,1084 Woodland Ave SE,Atlanta,GA,30316
