Style,Supplier SKU,UPC,Title,Description,Size,Color,URL
D1423,D1423W-WHITE-14W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",14W,WHITE,
D1423,D1423W-WHITE-16W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",16W,WHITE,
D1423,D1423W-WHITE-18W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",18W,WHITE,
D1423,D1423W-WHITE-20W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",20W,WHITE,
D1423,D1423W-WHITE-22W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",22W,WHITE,
D1423,D1423W-WHITE-24W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",24W,WHITE,
D1423,D1423W-WHITE-26W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",26W,WHITE,
D1423,D1423W-DSILVER-14W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",14W,DSILVER,
D1423,D1423W-DSILVER-16W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",16W,DSILVER,
D1423,D1423W-DSILVER-18W,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",18W,DSILVER,
