Supplier SKU,URL,URL-2,URL-3
H0889-AQUA BLUE-OS,https://dl.dropboxusercontent.com/s/frkxmlnzutmlskv/h0889%20aquablue.jpg?dl=0,0,0
H0889-CORAL PINK-OS,https://dl.dropboxusercontent.com/s/ewioi1jakw7ftjn/h0889%20coral%20pink.jpg?dl=0,0,0
H0907/08-Emerald-OS,https://dl.dropboxusercontent.com/s/8b7onfk69nurue2/h0907-08%20emerald.jpg?dl=0,0,0
H0910-BLK/WHT DOT-OS,https://dl.dropboxusercontent.com/s/g69mmerzog5zwep/h0910%20black-wht%20dot.jpg?dl=0,0,0
HD1326-LEOPARD-OS,https://dl.dropboxusercontent.com/s/rzxv7g2df76fwoq/hd1326%20leopard.jpg?dl=0,0,0
HD1335-W/B-OS,https://dl.dropboxusercontent.com/s/8g28vd2tqyt6iiu/hd1335%20white-blk.jpg?dl=0,0,0
HD1337-MULTI-OS,https://dl.dropboxusercontent.com/s/kr148hv60un65i9/hd1337%20multi.jpg?dl=0,0,0
HD1338-BLACK/WHT-OS,https://dl.dropboxusercontent.com/s/wr6cibclajbkq8k/hd1338%20black-white.jpg?dl=0,0,0
HD1339-GOLD/RYL-OS,https://dl.dropboxusercontent.com/s/chbs9mkwgs50fl8/hd1339%20gold-royal.jpg?dl=0,0,0
HD1340-GOLD/RED/BLK-OS,https://dl.dropboxusercontent.com/s/7vu4w15op5n14fc/hd1340%20gold-red-black.jpg?dl=0,0,0
HD1341-ORG MULTI-OS,https://dl.dropboxusercontent.com/s/9zbf799ef5q7h9r/hd1341%20orange%20multi-1.jpg?dl=0,https://dl.dropboxusercontent.com/s/que3ogobxmadcow/hd1341%20orange%20multi-2.jpg?dl=0,0
HD1341-SFM MULTI-OS,https://dl.dropboxusercontent.com/s/aq6acrg2ymd4wgo/hd1341%20sea%20foam%20multi-1.jpg?dl=0,https://dl.dropboxusercontent.com/s/b1vq6pwqec3vp8a/hd1341%20seafoam%20multi-2.jpg?dl=0,0
HD1342-WHT/ROYAL-OS,https://dl.dropboxusercontent.com/s/8jkpmgedsld87oj/hd1342%20white-royal.jpg?dl=0,0,0
HD1345-GOLD-OS,https://dl.dropboxusercontent.com/s/4i7s6jegmf6y59z/hd1345%20gold.jpg?dl=0,0,0
HD1345-SAPPHIRE-OS,https://dl.dropboxusercontent.com/s/f5qgud6tedceisa/hd1345%20sapphire.jpg?dl=0,0,0
HD1345-WHT-OS,https://dl.dropboxusercontent.com/s/bf3ltsildqx3fnd/hd1345%20white.jpg?dl=0,0,0
HD1347-MULTI-OS,https://dl.dropboxusercontent.com/s/drcj84ej0iubg8c/hd1347%20multi.jpg?dl=0,0,0
HD1348-MULTI-OS,https://dl.dropboxusercontent.com/s/0b6684hm7qtwjol/hd1348%20multi.jpg?dl=0,0,0
HD1349-BLK/PNK-OS,https://dl.dropboxusercontent.com/s/m2g9rgkper9qqop/hd1349%20black-pink.jpg?dl=0,0,0
HD1424/58-GREEN-OS,https://dl.dropboxusercontent.com/s/w0ywl41p6x0689o/hd1424-58%20green.jpg?dl=0,0,0
HD1424/58-NAVY-OS,https://dl.dropboxusercontent.com/s/obya1f6666lkfxn/hd1424-58%20navy.jpg?dl=0,0,0
HD1424/58-PINK-OS,https://dl.dropboxusercontent.com/s/u9jm7wpy7tkysbn/hd1424-58%20pink.jpg?dl=0,0,0
HD1468/69-GLD/BLK-OS,https://dl.dropboxusercontent.com/s/hu0dc8os8j89jh7/hd1468-69%20gold-blk.jpg?dl=0,0,0
HD1491-CHAM-OS,https://dl.dropboxusercontent.com/s/okxavr6gwxcw41x/hd1491%20champ.jpg?dl=0,0,0
HD1492-LIME GREEN-OS,https://dl.dropboxusercontent.com/s/qxw7xsa6qt0ja0e/hd1492%20lime%20green.jpg?dl=0,0,0
HD1493-SIL-OS,https://dl.dropboxusercontent.com/s/gfh0u5ww24rd6zg/hd1493%20silver.jpg?dl=0,0,0
HD1494-IVY-OS,https://dl.dropboxusercontent.com/s/8ti481bkd1zemj3/hd1494%20ivory.jpg?dl=0,0,0
HD1494-PINK-OS,https://dl.dropboxusercontent.com/s/7oxijhixgd869cy/hd1494%20pink.jpg?dl=0,0,0
HD1499-CHAM-OS,https://dl.dropboxusercontent.com/s/ulcw4ao1guqlqmt/hd1499%20champ.jpg?dl=0,0,0
HD1499-COPPER-OS,https://dl.dropboxusercontent.com/s/dkenvlsaoqjuspz/hd1499%20copper.jpg?dl=0,0,0
HD1502-BLACK/GREEN-OS,https://dl.dropboxusercontent.com/s/d3jy6zwy9kjzfnr/hd1502%20black-green.jpg?dl=0,0,0
HD1502-BLK/PNK-OS,https://dl.dropboxusercontent.com/s/j8vejjj6dqxiwkt/hd1502%20black-pink.jpg?dl=0,0,0
HG1007-BLK-OS,0,0,0
HG1007-CHAM-OS,https://dl.dropboxusercontent.com/s/w6y4n2hex9ug4az/hg1007%20champagne.jpg?dl=0,0,0
