style,code
G1085 Mint,"['G1085-MINT-8', 'G1085-MINT-10', 'G1085-MINT-12', 'G1085-MINT-14', 'G1085-MINT-16', 'G1085-MINT-18', 'G1085W-MINT-14W', 'G1085W-MINT-16W', 'G1085W-MINT-18W', 'G1085W-MINT-20W', 'G1085W-MINT-22W', 'G1085W-MINT-24W']"
G1086 Indigo Blue,-1
G1088 NAVY 3pc Silkly twill,"['G1088-NAVY-8', 'G1088-NAVY-10', 'G1088-NAVY-12', 'G1088-NAVY-14', 'G1088-NAVY-16', 'G1088-NAVY-18', 'G1088W-NAVY-14W', 'G1088W-NAVY-16W', 'G1088W-NAVY-18W', 'G1088W-NAVY-20W', 'G1088W-NAVY-22W', 'G1088W-NAVY-24W', 'G1088W-NAVY-26W']"
G1092 Orange Multi  2Pc Silky Twill w/print Skirt,[]
G1093 Pink 2 Pc Silk Twill + Organza Ruffled Suit,-1
G1093 White 2 Pc Silk Twill + Organza Ruffled Suit,['G1093W-WHT-16W']
G1096 Blue 3Pc Notch Collar BRCD Suit,-1
G1096 Pink 3Pc Notch Collar BRCD Suit,-1
G1096 Yellow 3Pc Notch Collar BRCD Suit,-1
G1097 Pink/Gold 2Pc Notch Collar BRCD Skirt Suit,[]
G1098 Champagne  3Pc Silk Twill + Lace Skirt Suit,[]
G1098 Lime 3Pc Silk Twill + Lace Skirt Suit,-1
G1098 Yellow 3Pc Silk Twill + Lace Skirt Suit,['G1098W-YELLOW-18W']
G1099 Blush Pink 3pc Brcd Jkt + Silk Wool Layered Flare Skirt,[]
G1099 Lime 3pc Brcd Jkt + Silk Wool Layered Flare Skirt,-1
G1110 Yellow 3PC,-1
H0895,
H0912/14/15 Blue,-1
H0912/14/15 Pink,-1
H0912/14/15 White,-1
H0912/14/15 Yellow,-1
H0929 Hot Pink,-1
H0929 Turq,-1
H0929 White,-1
HD1326,
HD1336,
HD1338,
HD1339 Gold/Royal,-1
HD1340 Gold/Red/Black,-1
HD1341 Orange Multi,[]
HD1341 Seafoam Multi,['HD1341-SFM MULTI-OS']
HD1342 White/Royal,-1
HD1343-46 Navy,-1
HD1343-46 Ocean Blue,-1
HD1343-46 SIlver,-1
HD1343-46 Violet,-1
HD1343-46 White,-1
HD1494,
HG1059 Black,-1
HG1060 Off White,-1
HG1062 Mustard,['HG1062-MUSTARD-OS']
HM1020 Black,['HM1020-BLK-OS']
HM1020 White,['HM1020-WHT-OS']
HM935 Black,-1
HM935 Chocolate,['HM935-CHOCO-OS']
HM935 Navy,['HM935-NAVY-OS']
HM935 Royal,['HM935-RYL-OS']
HM944,
HM944 Black,-1
HM944 Champagne,-1
HM944 White,-1
HM948 Black,-1
HM948 Pastel Green,-1
HM948 White,-1
HM953,
HM954,
HM956,
HM957 Purple,['HM957-PURPLE-OS']
HM957 Red,['HM957-RED-OS']
HM958 Blue,['HM958-BLUE-OS']
HM958 Pink,['HM958-PINK-OS']
HM960 Ice Blue,-1
HM960 Pink,-1
HM960 White,-1
HM961 Black,-1
HM961 White,-1
HM962,
HM962 Lilac,-1
HM962 Lime,-1
HM962 Mint Green,-1
HM962 Ocean Blue,-1
HM965,
HM965 Ice Blue,-1
HM965 Navy,-1
HM965 Silver,-1
HM965 White,-1
HM967 Blue,['HM967-BLUE-OS']
HM967 Pink,['HM967-PINK-OS']
HM967 White,-1
HM968,
HM968 Black,-1
HM968 Navy,-1
HM968 Silver,-1
HM968 White,-1
HR1020,
HR1037 Black,-1
HR1037 Champagne,['HR1037-CHAM-OS']
HR1037 Navy,['HR1037-NAVY-OS']
HR1037 Red,['HR1037-RED-OS']
HR1037 Silver,['HR1037-SIL-OS']
HR1037 White,-1
HR1039,
P1012 Red/Blue/Yellow Skirt w/ Wax Print,[]
P1013 Black/Red Skirt w/ Wax Print,[]
P1013 Black/Wht dot,[]
S0710,
