style,color,sizes,image file
#G0844,WHT,#8-18,G0844 White_wm.jpg
#G0844W,BLK,#14W-24W,G0844 Black_wm.jpg
#G0844W,CHAM,#14W-26W,G0844 Champ_wm.jpg
#G0844W,GLD/BLK,#14W-22W,G0844 Gold-blk_back_wm.jpg
#G0844W,ICEBLUE,#14W-24W,G0844 Ice blue_wm.jpg
#G0844W,IVY,#14W-26W,G0844 Ivory_wm.jpg
#G0844W,SIL,#14W-26W,G0844 Silver_1_wm.jpg
#G0844W,WHT,#14W-24W,G0844 White_wm.jpg
#G1007,CHOCO,#10-18,G1007 Chocolate_wm.jpg
#G1007,GOLD,#10-18,G1007 Gold_wm.jpg
#G1007,LAV,#8-18,G1007 Dk. Lavender_wm.jpg
#G1007,PINK,#10-18,G1007 Pink_wm.jpg
#G1007,RED,#8-18,G1007 Red_wm.jpg
#G1007,WHT,#8-18,G1007 White_wm.jpg
#G1007W,BLK,#14W-26W,G1007 Black_wm.jpg
#G1007W,GOLD,#14W-24W,G1007 Gold_wm.jpg
#G1007W,LAV,#14W-26W,G1007 Dk. Lavender_wm.jpg
#G1007W,PINK,#14W-26W,G1007 Pink_wm.jpg
#G1007W,RED,#14W-26W,G1007 Red_wm.jpg
#G1007W,WHT,#14W-26W,G1007 White_wm.jpg
#G1011,CHAM,#8-18,G1011 Champagne_wm.jpg
#G1011,GUNMETAL,#10-18,G1011 Gunmetal_back_wm.jpg
#G1011,RED,#8-18,G1011 Red_wm.jpg
#G1011,WHT,#8-18,G1011 White_wm.jpg
#G1011W,CHAM,#14W-26W,G1011 Champagne_wm.jpg
#G1011W,GUNMETAL,#14W-26W,G1011 Gunmetal_back_wm.jpg
#G1011W,RED,#14W-26W,G1011 Red_wm.jpg
#G1011W,WHT,#14W-24W,G1011 White_wm.jpg
#G1018,PURPLE,#10-18,G1018 Purple_wm.jpg
#G1018W,BLK,#14W-26W,G1018 Black_wm.jpg
#G1018W,CRAN,#14W-26W,G1018 Cranberry_wm.jpg
#G1018W,GINGER,#14W-26W,G1018 Ginger_wm.jpg
#G1018W,SPK,#14W-28W,G1018 Soft Pink_wm.jpg
#G1018W,WHT,#14W-28W,G1018 White_wm.jpg
#G1035W,BLK/ROYAL,#16W-24W,G1035 Black-royal_back_wm.jpg
#G1041,PURPLE,#10-18,G1041 Purple_wm.jpg
#G1041W,PURPLE,#14W-24W,G1041 Purple_wm.jpg
#G1045,HOTPINK/BLK,#10-18,G1045 Hot pink-blk_wm.jpg
#G1045,LIME/BLK,#10-18,G1045 Lime-blk_back_wm.jpg
#G1045,RYL/BLK,#10-18,G1045 Royal-blk_wm.jpg
#G1045W,HOTPINK/BLK,#14W-24W,G1045 Hot pink-blk_wm.jpg
#G1045W,LIME/BLK,#14W-24W,G1045 Lime-blk_back_wm.jpg
#G1045W,RYL/BLK,#14W-24W,G1045 Royal-blk_wm.jpg
#G1047,ICEBLUE,#8-18,G1047 Ice blue_back_wm.jpg
#G1047,WHT,#8-18,G1047 White_wm.jpg
#G1047W,ICEBLUE,#14W-24W,G1047 Ice blue_back_wm.jpg
#G1047W,WHT,#14W-24W,G1047 White_wm.jpg
#G1048,LEMONYEL,#10-18,G1048 Lemon Yellow_wm.jpg
#G1048,ROSEPINK,#10-18,G1048 Rose pink_wm.jpg
#G1048W,LEMONYEL,#14W-24W,G1048 Lemon Yellow_wm.jpg
#G1048W,ROSEPINK,#14W-24W,G1048 Rose pink_wm.jpg
#G1049,ROSEPINK,#8-18,G1049 Rose pink_back_wm.jpg
#G1051,GOLD,#10-18,G1051 Gold_wm.jpg
#G1051,GREEN,#10-18,G1051 Green_back_wm.jpg
#G1051W,GOLD,#14W-24W,G1051 Gold_wm.jpg
#G1051W,GREEN,#14W-24W,G1051 Green_back_wm.jpg
#G1053,NVY/W,#10-18,G1053 Navy-wht_1_wm.jpg
#G1053W,NVY/W,#14W-24W,G1053 Navy-wht_1_wm.jpg
#G1055,NVY/W,#8-18,G1055 Navy-wht_cami_wm.jpg
#G1055W,NVY/W,#14W-26W,G1055 Navy-wht_cami_wm.jpg
#G1056,PURP/WHITE,#10-18,G1056 Purple-white_back_wm.jpg
#G1056W,PURP/WHITE,#14W-26W,G1056 Purple-white_back_wm.jpg
#G1059,BLK,#10-18,G1059 Black_cami_wm.jpg
#G1059,FUCHSIA,#10-18,G1059 Fuchsia_back_wm.jpg
#G1059,IVY,#10-18,G1059 Ivory_wm.jpg
#G1059W,BLK,#14W-26W,G1059 Black_cami_wm.jpg
#G1059W,FUCHSIA,#14W-26W,G1059 Fuchsia_back_wm.jpg
#G1059W,IVY,#14W-26W,G1059 Ivory_wm.jpg
#G1060,LAV,#8-18,G1060 Lavender_back_wm.jpg
#G1060W,OFFWHT,#14W-24W,G1060 Off white_wm.jpg
#G1062,FUCHSIA,#8-18,G1062 Fuchsia_wm.jpg
#G1062W,FUCHSIA,#14W-24W,G1062 Fuchsia_wm.jpg
#G1062W,MUSTARD,#14W-24W,G1062 Mustard_back_wm.jpg
#G1063,PINK,#10-18,G1063 Pink_wm.jpg
#G1063W,ICEBLUE,#14W-24W,G1063 Ice blue_back_wm.jpg
#G1063W,PINK,#14W-24W,G1063 Pink_wm.jpg
#G1064,BLK,#12-18,G1064 Black leopard_1_wm.jpg
#G1064W,BLK,#14W-24W,G1064 Black leopard_1_wm.jpg
#G1065,BLK,#10-18,G1065 Black leopard_back_wm.jpg
#G1065W,BLK,#14W-24W,G1065 Black leopard_back_wm.jpg
#G1066,FUCHSIA,#10-18,G1066 Fuchsia_cami_wm.jpg
#G1066,MUSTARD,#10-18,G1066 Mustard_back_wm.jpg
#G1066W,FUCHSIA,#14W-24W,G1066 Fuchsia_cami_wm.jpg
#G1066W,MUSTARD,#14W-24W,G1066 Mustard_back_wm.jpg
#G1067,NAVY/GRN,#10-18,G1067 Navy-green_cami_wm.jpg
#G1067,PUR/GLD,#10-18,G1067 Purple-gold_back_wm.jpg
#G1067W,NAVY/GRN,#14W-24W,G1067 Navy-green_cami_wm.jpg
#G1067W,PUR/GLD,#14W-24W,G1067 Purple-gold_back_wm.jpg
#G1068,NAVY/GRN,#8-18,G1068 Navy-green_wm.jpg
#G1068,RED/BLK,#8-18,G1068 Red-blk_back_wm.jpg
#G1068W,NAVY/GRN,#14W-26W,G1068 Navy-green_wm.jpg
#G1068W,RED/BLK,#14W-26W,G1068 Red-blk_back_wm.jpg
#G1069,CINNAMON/TPE,#10-18,yes
#G1069,STEEL/SIL,#10-18,yes
#G1069,WHT,#10-18,G1069A White_wm.jpg
#G1069W,WHT,#14W-24W,G1069A White_wm.jpg
#G1069W,CINNAMON/TPE,#14W-24W,yes
#G1069W,STEEL/SIL,#14W-24W,yes
#G1070,PURPLE,#10-18,N/A
#G1070,RED,#10-18,N/A
#G1070,WHT,#10-18,N/A
#G1070W,PURPLE,#14W-26W,N/A
#G1070W,RED,#14W-26W,N/A
#G1070W,WHT,#14W-26W,N/A
#G1072,A.GRN,#10-18,G1072 Apple Green_wm.jpg
#G1072,PURPLE,#10-18,N/A
#G1072,WHT,#10-18,N/A
#G1072W,A.GRN,#14W-24W,G1072 Apple Green_wm.jpg
#G1072W,PURPLE,#14W-24W,N/A
#G1072W,WHT,#14W-24W,N/A
#G1074,A.GRN,#10-18,N/A
#G1074,PINK,#10-18,N/A
#G1074,WHT,#10-18,N/A
#G1074W,A.GRN,#14W-26W,N/A
#G1074W,PINK,#14W-26W,N/A
#G1074W,WHT,#14W-26W,N/A
#G1080,PURPLE,#8-18,G1080 Purple_back_wm.jpg
#G1080,RED,#8-18,G1080 Red_back_wm.jpg
#G1080,WHT,#8-18,G1080 White_1_wm.jpg
#G1080W,PURPLE,#14W-24W,G1080 Purple_back_wm.jpg
#G1080W,RED,#14W-24W,G1080 Red_back_wm.jpg
#G1080W,WHT,#14W-24W,G1080 White_1_wm.jpg
#G1081,BLK,#8-18,G1081 Black_back_wm.jpg
#G1081,MUSTARDGLD,#8-18,G1081 Mustard gold_wm.jpg
#G1081,RED,#8-18,G1081 Red_dress_1_wm.jpg
#G1081W,BLK,#14W-24W,G1081 Black_back_wm.jpg
#G1081W,MUSTARDGLD,#14W-24W,G1081 Mustard gold_wm.jpg
#G1081W,RED,#14W-24W,G1081 Red_dress_1_wm.jpg
#G1082,W/B,#8-18,G1082 White-blk Dot_back_wm.jpg
#G1082,WHT/LV,#8-18,G1082 White-lav_1_wm.jpg
#G1082W,W/B,#14W-24W,G1082 White-blk Dot_back_wm.jpg
#G1082W,WHT/LV,#14W-24W,G1082 White-lav_1_wm.jpg
#G1083,LAV,#8-18,N/A
#G1083,WHT,#8-18,N/A
#G1083W,LAV,#14W-26W,N/A
#G1083W,WHT,#14W-26W,N/A
#G1084,LEMON,#8-18,N/A
#G1084,LILAC,#8-18,N/A
#G1084,WHT,#8-18,N/A
#G1084W,LEMON,#14W-24W,N/A
#G1084W,LILAC,#14W-24W,N/A
#G1084W,WHT,#14W-24W,N/A
#G1085,MINT,#8-18,N/A
#G1085,WHT,#8-18,N/A
#G1085W,MINT,#14W-24W,N/A
#G1085W,WHT,#14W-24W,N/A
#G1086,INDIGOBLUE,#8-18,N/A
#G1086W,INDIGOBLUE,#14W-24W,N/A
#G1087,LAV,#8-18,N/A
#G1087,WHT,#8-18,N/A
#G1087W,LAV,#14W-24W,N/A
#G1087W,WHT,#14W-24W,N/A
#G1088,BLK,#8-18,G1088 Black_wm.jpg
#G1088,CHAM,#8-18,G1088 Champagne_wm.jpg
#G1088,NAVY,#8-18,G1088 Navy_wm.jpg
#G1088,SIL,#8-18,G1088 Silver_back_wm.jpg
#G1088W,BLK,#14W-26W,G1088 Black_wm.jpg
#G1088W,CHAM,#14W-26W,G1088 Champagne_wm.jpg
#G1088W,NAVY,#14W-26W,G1088 Navy_wm.jpg
#G1088W,SIL,#14W-26W,G1088 Silver_back_wm.jpg
#G1088W,WHT,#14W-26W,G1088 White_wm.jpg
#G1090,CRAN,#8-18,N/A
#G1090,NAVY,#8-18,N/A
#G1090W,CRAN,#14W-24W,N/A
#G1090W,NAVY,#14W-24W,N/A
#H0889,AQUABLUE,#OS,H0889 AquaBlue_wm.jpg
#H0889,CORALPINK,#OS,H0889 Coral Pink_wm.jpg
#H0907/08,Emerald,#OS,yes
#H0910,BLK/WHTDOT,#OS,H0910 Black-wht Dot_wm.jpg
#HD1326,LEOPARD,#OS,HD1326 Leopard_wm.jpg
#HD1335,W/B,#OS,HD1335 White-blk_wm.jpg
#HD1337,MULTI,#OS,HD1337 Multi_wm.jpg
#HD1339,GOLD/RYL,#OS,HD1339 Gold-Royal_wm.jpg
#HD1340,GOLD/RED/BLK,#OS,HD1340 Gold-Red-Black_wm.jpg
#HD1341,ORGMULTI,#OS,HD1341 Orange Multi-1_wm.jpg
#HD1341,SFMMULTI,#OS,HD1341 Sea Foam Multi-1_wm.jpg
#HD1342,WHT/ROYAL,#OS,HD1342 White-Royal_wm.jpg
#HD1345,GOLD,#OS,HD1345 Gold_wm.jpg
#HD1345,SAPPHIRE,#OS,HD1345 Sapphire_wm.jpg
#HD1347,MULTI,#OS,HD1347 Multi_wm.jpg
#HD1348,MULTI,#OS,HD1348 Multi_wm.jpg
#HD1349,BLK/PNK,#OS,HD1349 Black-pink_wm.jpg
#HD1424/40,CHAM,#OS,N/A
#HD1424/58,PINK,#OS,yes
#HD1468/69,GLD/BLK,#OS,N/A
#HD1492,LIMEGREEN,#OS,HD1492 Lime Green_wm.jpg
#HD1493,SIL,#OS,HD1493 Silver_wm.jpg
#HD1494,IVY,#OS,HD1494 Ivory_wm.jpg
#HD1499,CHAM,#OS,HD1499 Champ_wm.jpg
#HD1502,BLACK/GREEN,#OS,HD1502 Black-green_wm.jpg
#HG1007,BLK,#OS,N/A
#HG1007,CHAM,#OS,HG1007 Champagne_wm.jpg
#HG1007,Emerald,#OS,HG1007 Emerald_wm.jpg
#HG1007,IVY,#OS,N/A
#HG1007,NAVY,#OS,HG1007 Navy_wm.jpg
#HG1007,SIL,#OS,HG1007 Silver_wm.jpg
#HG1035,BLK/ROYAL,#OS,HG1035 Black-royal_wm.jpg
#HG1037/39,EMERALD/WHT,#OS,yes
#HG1037/39,GOLD/WHT,#OS,yes
#HG1046,PURPLE,#OS,HG1046 Purple_wm.jpg
#HG1046,TURQ,#OS,HG1046 Turq_wm.jpg
#HG1059,BLK,#OS,HG1059 Black_wm.jpg
#HG1059,FUCHSIA,#OS,HG1059 Fuchsia_wm.jpg
#HG1059,IVY,#OS,N/A
#HG1060,LAV,#OS,HG1060 Lavender_wm.jpg
#HG1060,OFFWHT,#OS,HG1060 OffWhite_wm.jpg
#HG1061,BLUE,#OS,HG1061 Blue_wm.jpg
#HG1061,SIL,#OS,HG1061 Silver_wm.jpg
#HG1062,MUSTARD,#OS,HG1062 Mustard_wm.jpg
#HG1066,FUCHSIA,#OS,HG1066 Fuchsia_wm.jpg
#HG1066,MUSTARD,#OS,N/A
#HG1067/68,NAVY,#OS,yes
#HG1067/68,PURPLE,#OS,yes
#HG1067/68,RED,#OS,yes
#HG1069,CINNAMON,#OS,HG1069 Cinnamon_wm.jpg
#HG1069,IVY,#OS,N/A
#HG1069,SIL,#OS,HG1069 Silver-Steel_wm.jpg
#HG1081,BLK,#OS,HG1081 Black_wm.jpg
#HG1081,MUSTARDGLD,#OS,HG1081 Mustard gold_wm.jpg
#HG1081,RED,#OS,HG1081 Red_wm.jpg
#HM1020,BLK,#OS,HM1020 Black_wm.jpg
#HM1020,WHT,#OS,HM1020 White_wm.jpg
#HM935,BLK,#OS,HM935 Black_wm.jpg
#HM935,CHOCO,#OS,HM935 Chocolate_wm.jpg
#HM935,NAVY,#OS,HM935 Navy_wm.jpg
#HM935,RYL,#OS,HM935 Royal_wm.jpg
#HM935,WHT,#OS,HM935 White_wm.jpg
#HM948,LILAC,#OS,HM948 Lilac_wm.jpg
#HM948,PASTELGRN,#OS,HM948 Pastel Green_wm.jpg
#HM948,PINK,#OS,HM948 Pink_wm.jpg
#HM953,SAPPHIRE,#OS,HM953 Sapphire_wm.jpg
#HM954,ICEBLUE,#OS,HM954 Ice Blue_wm.jpg
#HM954,PINK,#OS,HM954 Pink_wm.jpg
#HM956,PEACOCK,#OS,HM956 Peacock_wm.jpg
#HM957,PURPLE,#OS,HM957 Purple_wm.jpg
#HM957,RED,#OS,HM957 Red_wm.jpg
#HM958,BLUE,#OS,HM958 Blue_wm.jpg
#HM958,PEACOCK,#OS,HM958 Peacock_wm.jpg
#HM958,PINK,#OS,HM958 Pink_wm.jpg
#HM959,Animal,#OS,HM959 Animal_wm.jpg
#HM960,BLUE,#OS,HM960 Blue_wm.jpg
#HM960,MAUVE,#OS,HM960 Mauve_wm.jpg
#HM960,WHT,#OS,HM960 White_wm.jpg
#HM961,LAV,#OS,HM961 Lavender_wm.jpg
#HM961,NAVY,#OS,HM961 Navy_wm.jpg
#HM961,YELLOW,#OS,HM961 Yellow_wm.jpg
#HM964,LIME,#OS,HM964 Lime_wm.jpg
#HM965,ICEBLUE,#OS,HM965 IceBlue_wm.jpg
#HM965,WHT,#OS,HM965 White_wm.jpg
#HM967,BLK,#OS,HM967 Black_wm.jpg
#HM967,BLUE,#OS,HM967 Blue_wm.jpg
#HM967,PINK,#OS,HM967 Pink_wm.jpg
#HM967,WHT,#OS,HM967 White_wm.jpg
#HM970,BLK,#OS,HM970 Black_wm.jpg
#HM970,RYL,#OS,HM970 Royal_wm.jpg
#HM970,WHT,#OS,HM970 White_wm.jpg
#HM971,BLK,#OS,HM971 Black_wm.jpg
#HM971,PURPLE,#OS,HM971 Purple_wm.jpg
#HM971,RYL,#OS,HM971 Royal_wm.jpg
#HR1020,PURPLE,#OS,HR1020 Purple_wm.jpg
#HR1030,NAVY,#OS,HR1030 Navy_wm.jpg
#HR1031,GREEN,#OS,HR1031 Green_wm.jpg
#HR1031,TURQ,#OS,HR1031 Turq_wm.jpg
#HR1031,WHT,#OS,HR1031 White_wm.jpg
#HR1037,BLK,#OS,HR1037 Black_wm.jpg
#HR1037,CHAM,#OS,HR1037 Champagne_wm.jpg
#HR1037,NAVY,#OS,HR1037 Navy_wm.jpg
#HR1037,RED,#OS,HR1037 Red_wm.jpg
#HR1037,SIL,#OS,HR1037 Silver_wm.jpg
#HR1037,WHT,#OS,HR1037 White_wm.jpg
#HR1038,CHAMP/CHOCO,#OS,yes
#HR1038,SIL/ST,#OS,HR1038 Silver-Steel_wm.jpg
#HR1040,EMERALD/WHT,#OS,N/A
#HR1053,BLK,#OS,HR1053 Black_wm.jpg
#HR1055,CHAM,#OS,HR1055 Champagne_wm.jpg
#HR1055,CHOCO,#OS,HR1055 Chocolate_wm.jpg
#HR1055,IVY,#OS,HR1055 Ivory_wm.jpg
#HR1055,SIL,#OS,HR1055 Silver_wm.jpg
#HR1056,CRAN,#OS,HR1056 Cranberry_wm.jpg
#P1011,PINK,"#M,L,XL,1X,2X",P1011 Pink_wm.jpg
#P1011,WHT,"#M,L,XL,1X,2X",P1011 White_wm.jpg
#P1012,GREEN,#OS,P1012 Green_wm.jpg
#P1012,RED/BLUE/YEL,#OS,P1012 Red-blue-yellow_1_wm.jpg
#P1013,BLACK/WHT,#XL-2X,P1013 Black-wht_1_wm.jpg
#P1013,BLK/RED,"#M,L,XL,1X,2X",P1013 Black-red_wm.jpg
#P1013,RAINBOW,"#M,L,XL,1X,2X",P1013 Rainbow_wm.jpg
#P1014,DENIM,"#M-1X,2X-4X",P1014 Denim_Skirt Only_wm.jpg
#P1016,DENIM/ORG,"#M-1X,2X-4X",P1016 Denim-orange_wm.jpg
#P27759,PEACH,#8-18,N/A
#P27759W,PEACH,#16W-26W,N/A
#PS1701,PINK,"#M,L,XL,1X,2X",PS1701 Pink_wm.jpg
