style,color,sizes,image file
#0875,PEACOCK,#10-18,0875 Peacock_wm.jpg
#0877,NAVY,#8-18,0877 Navy_cami_wm.jpg
#0877,WHT,#8-18,0877 White_wm.jpg
#0877W,NAVY,#14W-26W,0877 Navy_cami_wm.jpg
#0877W,WHT,#14W-26W,0877 White_wm.jpg
#0888,SAPP/TEAL,#8-18,0888 Sapphire-teal_back_wm.jpg
#0888W,SAPP/TEAL,#16W-24W,0888 Sapphire-teal_back_wm.jpg
#0889,AQUABLUE,#10-18,0889 Aqua blue_back_wm.jpg
#0889,WHT,#10-18,0889 White_wm.jpg
#0889W,AQUABLUE,#14W-26W,0889 Aqua blue_back_wm.jpg
#0889W,WHT,#14W-26W,0889 White_wm.jpg
#0898W,SFM,#14W-24W,0898 Seafoam_wm.jpg
#0899,SFM,#10-18,0899 Seafoam_back_wm.jpg
#0899W,SFM,#14W-26W,0899 Seafoam_back_wm.jpg
#0899W,WHT,#14W-26W,0899 White_1_wm.jpg
#0903,BLK,#8-18,0903 Black_wm.jpg
#0903,WHT,#8-18,0903 White_wm.jpg
#0903W,BLK,#14W-24W,0903 Black_wm.jpg
#0903W,WHT,#14W-24W,0903 White_wm.jpg
#0906,W/N,#10-18,0906 White-navy_wm.jpg
#0906,WHT/TURQ,#10-18,0906 White-turq_back_wm.jpg
#0906W,W/N,#14W-26W,0906 White-navy_wm.jpg
#0906W,WHT/TURQ,#14W-26W,0906 White-turq_back_wm.jpg
#0907,Emerald,#10-18,0907 Emerald_back_wm.jpg
#0907W,CHAM,#14W-26W,0907 Champagne_wm.jpg
#0907W,Emerald,#14W-26W,0907 Emerald_back_wm.jpg
#0908,CHAM,#10-18,0908 Champagne_wm.jpg
#0908,Emerald,#10-18,0908 Emerald_back_wm.jpg
#0908W,CHAM,#14W-26W,0908 Champagne_wm.jpg
#0908W,Emerald,#14W-26W,0908 Emerald_back_wm.jpg
#0910W,BLK/WHTDOT,#14W-28W,0910 Black-wht Dot_back_wm.jpg
#0912,BLUE,#10-18,0912 Blue_back_wm.jpg
#0912,WHT,#10-18,0912 White_wm.jpg
#0912V,PINK,#8-18,N/A
#0912W,BLUE,#14W-24W,0912 Blue_back_wm.jpg
#0912W,WHT,#14W-24W,0912 White_wm.jpg
#0914V,BLUE,#8-18,N/A
#0914VW,BLUE,#14W-24W,N/A
#0914W,YELLOW,#14W-26W,N/A
#0915,BLUE,#10-18,N/A
#0915W,BLUE,#14W-24W,N/A
#0918,NAVY,#8-18,0918 Navy_back_wm.jpg
#0918W,NAVY,#14W-26W,0918 Navy_back_wm.jpg
#0919,BLK,#8-18,0919 Black_1_wm.jpg
#0919,FUCHSIA,#8-18,0919 Fuchsia_back_wm.jpg
#0919W,BLK,#14W-26W,0919 Black_1_wm.jpg
#0919W,FUCHSIA,#16W-24W,0919 Fuchsia_back_wm.jpg
