Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
HD1340,HD1340,FABRIC MATCHING D1340,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,GOLD/RED/BLK,SIZE,OS,,,HD1340-GOLD/RED/BLK-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/8px1rag0etducwb/HD1340%20Gold-Red-Black_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1341,HD1341,FABRIC MATCHING D1341,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,ORG MULTI,SIZE,OS,,,HD1341-ORG MULTI-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/uzqb035oqkg731c/HD1341%20Sea%20Foam%20Multi-1_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1341,,,,,,,COLOR,SFM MULTI,SIZE,OS,,,HD1341-SFM MULTI-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/h0liadhpafh4vjr/HD1341%20Orange%20Multi-1_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
HD1342,HD1342,FABRIC MATCHING D1342,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,WHT/ROYAL,SIZE,OS,,,HD1342-WHT/ROYAL-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/u9n2uej56x1o8pl/HD1342%20White-Royal_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1345,HD1345,FABRIC MATCHING HAT FOR D1345,GIOVANNA APPAREL,HAT,GIOVANNA COLLECTION,TRUE,COLOR,GOLD,SIZE,OS,,,HD1345-GOLD-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/8btsbxcd6bbzvwg/HD1345%20White_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1345,,,,,,,COLOR,SAPPHIRE,SIZE,OS,,,HD1345-SAPPHIRE-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/b7u0unpfrasdpby/HD1345%20Sapphire_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
HD1345,,,,,,,COLOR,WHT,SIZE,OS,,,HD1345-WHT-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/8ki5htsmk6qypvr/HD1345%20Gold_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
HD1347,HD1347,FABRIC MATCHING HAT FOR D1347,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,MULTI,SIZE,OS,,,HD1347-MULTI-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/i1s49wk3um007eo/HD1347%20Multi_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1348,HD1348,FABRIC MATCHING HAT FOR D1348,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,MULTI,SIZE,OS,,,HD1348-MULTI-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/y9a58ap6ioxwdnz/HD1348%20Multi_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1349,HD1349,FABRIC MATCHING HAT FOR D1349,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK/PNK,SIZE,OS,,,HD1349-BLK/PNK-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/v4zcawoameuhmf9/HD1349%20Black-pink_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1424/58,HD1424/58,SHANTUNG,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,BURGUNDY,SIZE,OS,,,HD1424/58-BURGUNDY-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/kz44j11reik4g2u/HD1424-58%20White_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1424/58,,,,,,,COLOR,GREEN,SIZE,OS,,,HD1424/58-GREEN-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/nbk14xnqgtqmlp4/HD1424-58%20Green_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
HD1424/58,,,,,,,COLOR,NAVY,SIZE,OS,,,HD1424/58-NAVY-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/kfcvx0n3kyxqskc/HD1424-58%20Navy_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
HD1424/58,,,,,,,COLOR,PINK,SIZE,OS,,,HD1424/58-PINK-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/lcdnw6lbc2gzp03/HD1424-58%20Burgundy_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
