Style,ATS COLOR,COLOR,SIZE,URL,INDEX
G0844,GLD/BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,GLD/BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,GLD/BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,IVY, Ivory,8,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844,IVY, Ivory,10,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844,IVY, Ivory,12,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844,IVY, Ivory,14,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844,IVY, Ivory,16,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844,IVY, Ivory,18,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844,SIL, Silver,8,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844,SIL, Silver,8,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
G0844,SIL, Silver,10,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844,SIL, Silver,10,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
G0844,SIL, Silver,12,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844,SIL, Silver,12,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
