Style,ATS COLOR,COLOR,SIZE,URL,INDEX
S0713W,NVY/W, Navy-wht,18W,https://dl.dropboxusercontent.com/s/96uve6450uvn8vo/S0713%20Navy-wht_cami_wm.jpg?dl=0,cami
S0713W,NVY/W, Navy-wht,18W,https://dl.dropboxusercontent.com/s/e7nrwyyp5pgrbac/S0713%20Navy-wht_wm.jpg?dl=0,0
S0713W,NVY/W, Navy-wht,20W,https://dl.dropboxusercontent.com/s/yrl0l3bo73maoey/S0713%20Navy-wht_back_wm.jpg?dl=0,back
S0713W,NVY/W, Navy-wht,20W,https://dl.dropboxusercontent.com/s/96uve6450uvn8vo/S0713%20Navy-wht_cami_wm.jpg?dl=0,cami
S0713W,NVY/W, Navy-wht,20W,https://dl.dropboxusercontent.com/s/e7nrwyyp5pgrbac/S0713%20Navy-wht_wm.jpg?dl=0,0
S0713W,NVY/W, Navy-wht,22W,https://dl.dropboxusercontent.com/s/yrl0l3bo73maoey/S0713%20Navy-wht_back_wm.jpg?dl=0,back
S0713W,NVY/W, Navy-wht,22W,https://dl.dropboxusercontent.com/s/96uve6450uvn8vo/S0713%20Navy-wht_cami_wm.jpg?dl=0,cami
S0713W,NVY/W, Navy-wht,22W,https://dl.dropboxusercontent.com/s/e7nrwyyp5pgrbac/S0713%20Navy-wht_wm.jpg?dl=0,0
S0713W,NVY/W, Navy-wht,24W,https://dl.dropboxusercontent.com/s/yrl0l3bo73maoey/S0713%20Navy-wht_back_wm.jpg?dl=0,back
S0713W,NVY/W, Navy-wht,24W,https://dl.dropboxusercontent.com/s/96uve6450uvn8vo/S0713%20Navy-wht_cami_wm.jpg?dl=0,cami
S0713W,NVY/W, Navy-wht,24W,https://dl.dropboxusercontent.com/s/e7nrwyyp5pgrbac/S0713%20Navy-wht_wm.jpg?dl=0,0
S0713W,NVY/W, Navy-wht,26W,https://dl.dropboxusercontent.com/s/yrl0l3bo73maoey/S0713%20Navy-wht_back_wm.jpg?dl=0,back
S0713W,NVY/W, Navy-wht,26W,https://dl.dropboxusercontent.com/s/96uve6450uvn8vo/S0713%20Navy-wht_cami_wm.jpg?dl=0,cami
S0713W,NVY/W, Navy-wht,26W,https://dl.dropboxusercontent.com/s/e7nrwyyp5pgrbac/S0713%20Navy-wht_wm.jpg?dl=0,0
S0714,DK. CHOCO, DK Chocolate,10,https://dl.dropboxusercontent.com/s/38o6drtbvo35guw/S0714%20DK%20Chocolate_back_wm.jpg?dl=0,back
S0714,DK. CHOCO, DK Chocolate,10,https://dl.dropboxusercontent.com/s/ilqrfuc9vof6r79/S0714%20DK%20Chocolate_wm.jpg?dl=0,0
S0714,DK. CHOCO, DK Chocolate,12,https://dl.dropboxusercontent.com/s/38o6drtbvo35guw/S0714%20DK%20Chocolate_back_wm.jpg?dl=0,back
S0714,DK. CHOCO, DK Chocolate,12,https://dl.dropboxusercontent.com/s/ilqrfuc9vof6r79/S0714%20DK%20Chocolate_wm.jpg?dl=0,0
S0714,DK. CHOCO, DK Chocolate,14,https://dl.dropboxusercontent.com/s/38o6drtbvo35guw/S0714%20DK%20Chocolate_back_wm.jpg?dl=0,back
S0714,DK. CHOCO, DK Chocolate,14,https://dl.dropboxusercontent.com/s/ilqrfuc9vof6r79/S0714%20DK%20Chocolate_wm.jpg?dl=0,0
S0714,DK. CHOCO, DK Chocolate,16,https://dl.dropboxusercontent.com/s/38o6drtbvo35guw/S0714%20DK%20Chocolate_back_wm.jpg?dl=0,back
